impl,symbol,time,event_sc,event_ar,event_st,event_spring,event_test,event_sos,event_bc,event_sow,bc_score,spring_score,composite_score,debug,event,direction,role,event_date,bar_index
kapman_v0_handwritten_structural,MSFT,2024-03-05,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-03-05', 'idx': 47, 'label': 'SOS', 'score': 2.7403164640342537}}",SOS,UP,ENTRY,2024-03-05,47
kapman_v0_handwritten_structural,MU,2024-06-17,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-06-17', 'idx': 119, 'label': 'SOS', 'score': 1.9694873188435613}}",SOS,UP,ENTRY,2024-06-17,119
kapman_v0_handwritten_structural,NICE,2024-02-22,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-02-22', 'idx': 39, 'label': 'SOS', 'score': 3.5130131691808533}}",SOS,UP,ENTRY,2024-02-22,39
kapman_v0_handwritten_structural,NOTE,2024-03-11,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-03-11', 'idx': 51, 'label': 'SOS', 'score': 2.360498677412062}}",SOS,UP,ENTRY,2024-03-11,51
kapman_v0_handwritten_structural,NOW,2024-12-04,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-12-04', 'idx': 237, 'label': 'SOS', 'score': 3.471980910278247}}",SOS,UP,ENTRY,2024-12-04,237
kapman_v0_handwritten_structural,NTAP,2024-05-31,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-05-31', 'idx': 108, 'label': 'SOS', 'score': 3.958990105988828}}",SOS,UP,ENTRY,2024-05-31,108
kapman_v0_handwritten_structural,NUKZ,2025-10-10,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-10-10', 'idx': 430, 'label': 'SOS', 'score': 2.94176849623639}}",SOS,UP,ENTRY,2025-10-10,430
kapman_v0_handwritten_structural,NVDA,2024-02-22,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-02-22', 'idx': 39, 'label': 'SOS', 'score': 2.498088417660759}}",SOS,UP,ENTRY,2024-02-22,39
kapman_v0_handwritten_structural,OKLO,2025-10-10,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-10-10', 'idx': 355, 'label': 'SOS', 'score': 2.7517136899382213}}",SOS,UP,ENTRY,2025-10-10,355
kapman_v0_handwritten_structural,ORCL,2025-06-30,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-06-30', 'idx': 377, 'label': 'SOS', 'score': 1.7529525789512304}}",SOS,UP,ENTRY,2025-06-30,377
kapman_v0_handwritten_structural,PANW,2024-02-26,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-02-26', 'idx': 41, 'label': 'SOS', 'score': 3.9182923640531904}}",SOS,UP,ENTRY,2024-02-26,41
kapman_v0_handwritten_structural,PATH,2024-03-14,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-03-14', 'idx': 54, 'label': 'SOS', 'score': 4.39993729171789}}",SOS,UP,ENTRY,2024-03-14,54
kapman_v0_handwritten_structural,PEGA,2024-07-25,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-07-25', 'idx': 145, 'label': 'SOS', 'score': 4.829812480351018}}",SOS,UP,ENTRY,2024-07-25,145
kapman_v0_handwritten_structural,PLTR,2025-08-06,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-06', 'idx': 403, 'label': 'SOS', 'score': 1.8839085915670986}}",SOS,UP,ENTRY,2025-08-06,403
kapman_v0_handwritten_structural,PODD,2025-09-02,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-09-02', 'idx': 421, 'label': 'SOS', 'score': 1.5600133127917597}}",SOS,UP,ENTRY,2025-09-02,421
kapman_v0_handwritten_structural,QBTS,2025-09-24,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-09-24', 'idx': 437, 'label': 'SOS', 'score': 1.6762227708555024}}",SOS,UP,ENTRY,2025-09-24,437
kapman_v0_handwritten_structural,ROK,2025-07-01,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-07-01', 'idx': 378, 'label': 'SOS', 'score': 2.224953244375434}}",SOS,UP,ENTRY,2025-07-01,378
kapman_v0_handwritten_structural,SENS,2024-12-26,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-12-26', 'idx': 252, 'label': 'SOS', 'score': 3.524996626481388}}",SOS,UP,ENTRY,2024-12-26,252
kapman_v0_handwritten_structural,SMCI,2024-02-22,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-02-22', 'idx': 39, 'label': 'SOS', 'score': 2.4754484357380764}}",SOS,UP,ENTRY,2024-02-22,39
kapman_v0_handwritten_structural,SOUN,2024-12-16,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-12-16', 'idx': 245, 'label': 'SOS', 'score': 2.700842843169483}}",SOS,UP,ENTRY,2024-12-16,245
kapman_v0_handwritten_structural,SPCE,2024-06-17,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-06-17', 'idx': 119, 'label': 'SOS', 'score': 6.216726691851451}}",SOS,UP,ENTRY,2024-06-17,119
kapman_v0_handwritten_structural,STM,2024-02-23,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-02-23', 'idx': 40, 'label': 'SOS', 'score': 1.7844690174278701}}",SOS,UP,ENTRY,2024-02-23,40
