symbol,event,direction,role,event_date,bar_index,impl
PCG,BC,DOWN,ENTRY,2024-12-02,235,kapman_v0_handwritten_structural
PEGA,SPRING,UP,ENTRY,2024-02-14,34,kapman_v0_handwritten_structural
PEGA,SOS,UP,ENTRY,2024-07-25,145,kapman_v0_handwritten_structural
PEGA,SOW,DOWN,ENTRY,2025-08-07,404,kapman_v0_handwritten_structural
PEGA,SC,NA,IGNORE,2025-10-21,456,kapman_v0_handwritten_structural
PEGA,AR,NA,IGNORE,2025-10-22,457,kapman_v0_handwritten_structural
PEGA,BC,DOWN,ENTRY,2025-10-23,458,kapman_v0_handwritten_structural
PLTR,SPRING,UP,ENTRY,2024-02-02,26,kapman_v0_handwritten_structural
PLTR,SC,NA,IGNORE,2024-08-05,152,kapman_v0_handwritten_structural
PLTR,AR,NA,IGNORE,2024-08-06,153,kapman_v0_handwritten_structural
PLTR,SOS,UP,ENTRY,2025-08-06,403,kapman_v0_handwritten_structural
PLTR,BC,DOWN,ENTRY,2025-08-20,413,kapman_v0_handwritten_structural
PODD,SOW,DOWN,ENTRY,2024-02-26,41,kapman_v0_handwritten_structural
PODD,SPRING,UP,ENTRY,2024-05-14,96,kapman_v0_handwritten_structural
PODD,SC,NA,IGNORE,2024-08-09,156,kapman_v0_handwritten_structural
PODD,AR,NA,IGNORE,2024-08-12,157,kapman_v0_handwritten_structural
PODD,SOS,UP,ENTRY,2025-09-02,421,kapman_v0_handwritten_structural
PODD,BC,DOWN,ENTRY,2025-11-06,468,kapman_v0_handwritten_structural
QBTS,BC,DOWN,ENTRY,2025-09-19,434,kapman_v0_handwritten_structural
QBTS,SOS,UP,ENTRY,2025-09-24,437,kapman_v0_handwritten_structural
QUBT,SC,NA,IGNORE,2024-07-02,129,kapman_v0_handwritten_structural
QUBT,AR,NA,IGNORE,2024-07-03,130,kapman_v0_handwritten_structural
QUBT,BC,DOWN,ENTRY,2025-10-03,444,kapman_v0_handwritten_structural
RELX,SPRING,UP,ENTRY,2024-02-15,35,kapman_v0_handwritten_structural
RELX,SOW,DOWN,ENTRY,2024-04-01,65,kapman_v0_handwritten_structural
RELX,SC,NA,IGNORE,2024-08-06,153,kapman_v0_handwritten_structural
RELX,AR,NA,IGNORE,2024-08-07,154,kapman_v0_handwritten_structural
RELX,BC,DOWN,ENTRY,2025-04-09,322,kapman_v0_handwritten_structural
RGTI,BC,DOWN,ENTRY,2025-10-13,450,kapman_v0_handwritten_structural
ROK,SPRING,UP,ENTRY,2024-01-29,22,kapman_v0_handwritten_structural
ROK,SOW,DOWN,ENTRY,2024-03-20,58,kapman_v0_handwritten_structural
ROK,BC,DOWN,ENTRY,2025-02-10,281,kapman_v0_handwritten_structural
ROK,SOS,UP,ENTRY,2025-07-01,378,kapman_v0_handwritten_structural
ROK,SC,NA,IGNORE,2025-08-06,403,kapman_v0_handwritten_structural
ROK,AR,NA,IGNORE,2025-08-12,407,kapman_v0_handwritten_structural
RR,SPRING,UP,ENTRY,2024-06-06,112,kapman_v0_handwritten_structural
RR,SC,NA,IGNORE,2024-06-07,113,kapman_v0_handwritten_structural
RR,AR,NA,IGNORE,2024-06-10,114,kapman_v0_handwritten_structural
RR,SOW,DOWN,ENTRY,2024-08-06,153,kapman_v0_handwritten_structural
RR,BC,DOWN,ENTRY,2025-10-03,444,kapman_v0_handwritten_structural
S,SC,NA,IGNORE,2024-05-31,108,kapman_v0_handwritten_structural
S,AR,NA,IGNORE,2024-06-05,111,kapman_v0_handwritten_structural
SENS,SOW,DOWN,ENTRY,2024-09-06,175,kapman_v0_handwritten_structural
SENS,SC,NA,IGNORE,2024-09-11,178,kapman_v0_handwritten_structural
SENS,AR,NA,IGNORE,2024-09-12,179,kapman_v0_handwritten_structural
SENS,SPRING,UP,ENTRY,2024-12-09,240,kapman_v0_handwritten_structural
SENS,SOS,UP,ENTRY,2024-12-26,252,kapman_v0_handwritten_structural
SENS,BC,DOWN,ENTRY,2025-10-06,445,kapman_v0_handwritten_structural
SEZL,BC,DOWN,ENTRY,2024-11-08,220,kapman_v0_handwritten_structural
SMCI,SOS,UP,ENTRY,2024-02-22,39,kapman_v0_handwritten_structural
SMCI,SC,NA,IGNORE,2024-08-28,169,kapman_v0_handwritten_structural
SMCI,BC,DOWN,ENTRY,2025-10-08,447,kapman_v0_handwritten_structural
SMR,BC,DOWN,ENTRY,2025-10-15,452,kapman_v0_handwritten_structural
SNOW,BC,DOWN,ENTRY,2025-08-28,419,kapman_v0_handwritten_structural
SONY,SC,NA,IGNORE,2024-05-14,96,kapman_v0_handwritten_structural
SONY,AR,NA,IGNORE,2024-06-04,110,kapman_v0_handwritten_structural
SONY,SOW,DOWN,ENTRY,2024-12-18,247,kapman_v0_handwritten_structural
