date,symbol,event,prior_regime,base_event,detector,fwd_5,fwd_10,fwd_20
2024-03-12,MDU,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.017000871839581544,0.0296425457715781,0.07454228421970344
2025-11-06,MDU,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,0.0,-0.006789524733268659,-0.06595538312318139
2025-11-06,MDU,BC:NONE,NONE,BC,contextual,0.0,-0.006789524733268659,-0.06595538312318139
2024-10-24,MDV,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.0558035714285714,-0.06752232142857151,-0.1004464285714286
2024-02-26,MDWD,SOW:UNKNOWN,UNKNOWN,SOW,contextual,0.028571428571428692,0.16214285714285714,0.13071428571428578
2024-03-04,MDWD,SOW:MARKDOWN,MARKDOWN,SOW,contextual,0.12986111111111098,0.09236111111111112,-0.02777777777777779
2024-03-04,MDWD,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,0.12986111111111098,0.09236111111111112,-0.02777777777777779
2025-01-24,MDWD,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.01260716086737268,-0.08572869389813409,-0.09228441754916783
2025-07-09,MDWD,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.03334944417593044,0.014983083615273118,-0.11019816336394395
2024-02-29,MDXG,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.001225490196078427,-0.044117647058823595,-0.056372549019607865
2024-03-04,MDXG,SOS:MARKUP,MARKUP,SOS,contextual,-0.03147699757869249,-0.04600484261501214,-0.1670702179176755
2024-04-25,MDXG,SPRING:MARKUP,MARKUP,SPRING,contextual,0.20096076861489198,0.1593274619695757,0.24419535628502786
2025-10-29,MDXG,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.10709318497913767,0.04033379694019468,-0.04311543810848406
2025-09-22,MDXH,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.0064102564102562765,0.010683760683760868,-0.11538461538461542
2025-10-27,MDXH,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.010438413361169019,-0.07306889352818369,-0.25469728601252617
2025-08-22,MDY,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.000671636778829976,0.012559607764121239,0.005658539861642886
2024-02-27,MEC,SOW:UNKNOWN,UNKNOWN,SOW,contextual,0.051088777219430614,0.1080402010050252,0.170854271356784
2024-02-28,MEC,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,0.12113617376775254,0.07769423558897248,0.1779448621553883
2024-06-24,MEC,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.04206161137440745,-0.03139810426540268,0.126184834123223
2025-10-21,MEC,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.06170483460559795,0.14440203562340947,-0.018447837150127322
2024-04-29,MED,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.2909039707124753,-0.286116586876936,-0.3016051816389749
2024-11-05,MED,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.04852941176470582,-0.15098039215686265,-0.032352941176470584
2025-10-01,MEDP,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.02371759514616656,-0.054384997242139965,0.0747747747747749
2025-10-23,MEDP,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.02722046227854047,-0.007408524831967189,-0.01751562997603129
2024-02-13,MEDX,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.022450400278454463,0.06091193873999301,0.035502958579881616
2024-04-04,MEDX,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,-0.012867327421317909,-0.04584246218049026,-0.02284124500086948
2025-10-01,MEDX,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.007393094710167913,0.001662971175166339,-0.020076021539436217
2025-12-16,MEDX,SOS:NONE,NONE,SOS,contextual,-0.004814163729320309,,
2025-12-16,MEDX,SOS:NONE,NONE,SOS,contextual,-0.004814163729320309,,
2024-02-29,MEG,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.10512324794586758,-0.0700821652972452,-0.053407443209279815
2024-03-01,MEG,SOS:MARKUP,MARKUP,SOS,contextual,-0.014466070489216332,-0.011046817464492431,0.03629668595476043
2025-02-27,MEG,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.22395157803718113,-0.2706441850410721,-0.3592736705577172
2025-02-18,MEGL,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.13903743315508021,-0.21925133689839582,-0.2139037433155081
2025-12-08,MEGL,BC:NONE,NONE,BC,contextual,-0.125,-0.20394736842105265,
2025-12-08,MEGL,BC:NONE,NONE,BC,contextual,-0.125,-0.20394736842105265,
2024-03-07,MEI,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.13595583160800562,-0.16701173222912358,-0.16908212560386482
2025-03-06,MEI,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual,-0.12034383954154737,-0.03008595988538698,-0.16045845272206305
2025-12-01,MEI,SPRING:NONE,NONE,SPRING,contextual,-0.1020671834625323,-0.12790697674418605,
2025-12-01,MEI,SPRING:NONE,NONE,SPRING,contextual,-0.1020671834625323,-0.12790697674418605,
2025-12-04,MEI,BC:NONE,NONE,BC,contextual,-0.060723514211886376,-0.12919896640826878,
2025-12-04,MEI,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.060723514211886376,-0.12919896640826878,
2024-04-12,MELI,SOW:UNKNOWN,UNKNOWN,SOW,contextual,-0.06073510878446686,-0.026410181838325997,0.17299569293835781
2024-08-05,MELI,BC:MARKDOWN,MARKDOWN,BC,contextual,0.07084459459459458,0.14189189189189189,0.12059121621621616
2025-05-07,MELI,SPRING:DISTRIBUTION,DISTRIBUTION,SPRING,contextual,0.13346506991322182,0.150250432122506,0.14130737503812818
2024-02-28,MEM,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.016406277552459825,0.036586140010580026,0.03421971433609583
2024-04-04,MEM,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.0008140035748323005,-0.03926888912253801,0.014289154419869998
2024-04-18,MEM,SOW:MARKUP,MARKUP,SOW,contextual,0.027176349726930393,0.055747173101838854,0.09086672715269661
2024-04-22,MEM,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,0.03832690284110818,0.06380918975797956,0.08155384075762884
2025-01-21,MEM,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,0.004173665892871492,0.022893074818997494,0.04797646190408855
