dataset,detector,event_type,horizon,metric,benchmark,prod,delta,missing_in,start_date,end_date,git_sha,run_timestamp
sequence,sequence,SEQ_ACCUM_BREAKOUT,5,median,,-0.377137713771377,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_ACCUM_BREAKOUT,10,median,,-0.3447344734473446,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_ACCUM_BREAKOUT,20,median,,-0.4689468946894689,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_DISTRIBUTION_TOP,5,median,,-0.00212128961809285,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_DISTRIBUTION_TOP,10,median,,-0.0016196603575971,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_DISTRIBUTION_TOP,20,median,,-0.00562726285529885,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_FAILED_ACCUM,5,median,,0.00863548444652835,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_FAILED_ACCUM,10,median,,0.00697604498670295,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_FAILED_ACCUM,20,median,,0.01397249061670465,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_MARKDOWN_START,5,median,,0.00042067678346849975,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_MARKDOWN_START,10,median,,-0.01816729699666285,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_MARKDOWN_START,20,median,,-0.02133590167251155,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_RECOVERY,5,median,,0.0099580712788258,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_RECOVERY,10,median,,0.0055646481178395,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_RECOVERY,20,median,,0.0142598269175402,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:ACCUMULATION,5,median,,-0.0053929121725732,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:ACCUMULATION,10,median,,-0.007861524640393351,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:ACCUMULATION,20,median,,-0.0042663043478259,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:DISTRIBUTION,5,median,,-0.018366610774478598,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:DISTRIBUTION,10,median,,-0.0247360436893203,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:DISTRIBUTION,20,median,,-0.0291464401294498,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:MARKDOWN,5,median,,-0.00140157709702215,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:MARKDOWN,10,median,,-0.0055649241146711,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:MARKDOWN,20,median,,0.0,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:MARKUP,5,median,,-0.0114687999999999,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:MARKUP,10,median,,-0.0163517441860464,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:MARKUP,20,median,,-0.0177312540055545,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:NONE,5,median,,-0.0160480349344978,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:NONE,10,median,,-0.0208970438328236,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:NONE,20,median,,-0.0054198597177789,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:UNKNOWN,5,median,,-0.0005036514731806,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:UNKNOWN,10,median,,-0.0031514674020091,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:UNKNOWN,20,median,,-0.0022414560709042497,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:ACCUMULATION,5,median,,-0.0089938398357289,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:ACCUMULATION,10,median,,-0.0126345961728941,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:ACCUMULATION,20,median,,-0.02405702308921555,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:DISTRIBUTION,5,median,,-0.00355605225148105,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:DISTRIBUTION,10,median,,-0.0046428032372311,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:DISTRIBUTION,20,median,,-0.0108219531048698,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:MARKDOWN,5,median,,-0.01721827000930875,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:MARKDOWN,10,median,,-0.02497307769365365,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:MARKDOWN,20,median,,-0.04603629417383,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
