dataset,detector,event_type,horizon,metric,benchmark,prod,delta,missing_in,start_date,end_date,git_sha,run_timestamp
transition,transition,MARKUP->DISTRIBUTION,20,win_rate,,0.29863013698630136,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_ACCUM_BREAKOUT,5,win_rate,,0.0,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_ACCUM_BREAKOUT,10,win_rate,,0.0,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_ACCUM_BREAKOUT,20,win_rate,,0.0,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_DISTRIBUTION_TOP,5,win_rate,,0.4714669352131588,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_DISTRIBUTION_TOP,10,win_rate,,0.48045178105994785,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_DISTRIBUTION_TOP,20,win_rate,,0.45803314121037464,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_FAILED_ACCUM,5,win_rate,,0.5340909090909091,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_FAILED_ACCUM,10,win_rate,,0.5465116279069767,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_FAILED_ACCUM,20,win_rate,,0.5595238095238095,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_MARKDOWN_START,5,win_rate,,0.5,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_MARKDOWN_START,10,win_rate,,0.4,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_MARKDOWN_START,20,win_rate,,0.35,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_RECOVERY,5,win_rate,,0.6073619631901841,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_RECOVERY,10,win_rate,,0.5521472392638037,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_RECOVERY,20,win_rate,,0.6125,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:ACCUMULATION,5,win_rate,,0.4368332397529478,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:ACCUMULATION,10,win_rate,,0.4356492027334852,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:ACCUMULATION,20,win_rate,,0.46108835576360446,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:DISTRIBUTION,5,win_rate,,0.3584018801410106,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:DISTRIBUTION,10,win_rate,,0.34832826747720363,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:DISTRIBUTION,20,win_rate,,0.3727154046997389,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:MARKDOWN,5,win_rate,,0.47410358565737054,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:MARKDOWN,10,win_rate,,0.45691382765531063,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:MARKDOWN,20,win_rate,,0.4949290060851927,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:MARKUP,5,win_rate,,0.3459552495697074,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:MARKUP,10,win_rate,,0.3431542461005199,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:MARKUP,20,win_rate,,0.37168141592920356,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:NONE,5,win_rate,,0.36087295401402963,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:NONE,10,win_rate,,0.3472727272727273,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:NONE,20,win_rate,,0.47230320699708456,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:UNKNOWN,5,win_rate,,0.4855797527957622,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:UNKNOWN,10,win_rate,,0.45222551928783383,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,BC:UNKNOWN,20,win_rate,,0.4754491017964072,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:ACCUMULATION,5,win_rate,,0.3994910941475827,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:ACCUMULATION,10,win_rate,,0.3903061224489796,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:ACCUMULATION,20,win_rate,,0.3795811518324607,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:DISTRIBUTION,5,win_rate,,0.44564240790655885,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:DISTRIBUTION,10,win_rate,,0.4470588235294118,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:DISTRIBUTION,20,win_rate,,0.4255611543747137,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:MARKDOWN,5,win_rate,,0.3404255319148936,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:MARKDOWN,10,win_rate,,0.324468085106383,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:MARKDOWN,20,win_rate,,0.26737967914438504,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:MARKUP,5,win_rate,,0.4371859296482412,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:MARKUP,10,win_rate,,0.4270833333333333,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:MARKUP,20,win_rate,,0.40524781341107874,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:NONE,5,win_rate,,0.44802867383512546,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:NONE,10,win_rate,,0.47555555555555556,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:NONE,20,win_rate,,0.6176470588235294,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:UNKNOWN,5,win_rate,,0.3927765237020316,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOS:UNKNOWN,10,win_rate,,0.35742518351214003,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
