date,symbol,event,score,detector,fwd_5,fwd_10,fwd_20
2024-02-13,SSSS,SPRING,,baseline,0.2536023054755041,0.239193083573487,0.25648414985590784
2024-08-05,SSSS,SOW,3.793604289646736,baseline,0.052341597796143224,0.02203856749311295,0.08126721763085398
2024-08-09,SSSS,SC,3.5953576571733623,baseline,0.005249343832020914,0.052493438320209806,0.013123359580052396
2024-08-21,SSSS,AR,2.216127242053931,baseline,-0.02621722846441943,-0.0337078651685393,-0.043695380774032455
2025-10-30,SSSS,BC,4.952438278469446,baseline,-0.008806262230919737,-0.08023483365949124,-0.09491193737769088
2025-10-31,SSSS,AR_TOP,0.5121940663806727,baseline,-0.03238469087340534,-0.038272816486751626,-0.07065750736015686
2024-04-25,SSSSL,SOW,1.5419941903916792,baseline,0.0016694490818029983,0.0017111853088480622,0.0066736227045074425
2024-10-01,SSSSL,SOS,1.6544113405363463,baseline,-0.014413362849667988,-0.022740994163815587,-0.01710605755685235
2025-01-06,SSSSL,BC,5.017045538437038,baseline,-0.002020202020202033,-0.010101010101010055,-0.005656565656565693
2025-01-07,SSSSL,AR_TOP,0.9034255742207602,baseline,0.0032493907392363575,0.010966693744922873,-0.0004061738424046002
2025-01-08,SSSSL,UT,5.076263739652816,baseline,0.002865329512893977,0.007367990176013084,0.011051985264019626
2025-10-01,SSSSL,SC,4.1300711971499116,baseline,0.0012038523274477964,-0.0016051364365972098,0.002427768860353119
2025-10-03,SSSSL,AR,0.8980423644882731,baseline,-0.0036086607858861752,-0.000801924619085792,-0.0018043303929431431
2025-04-25,SST,SC,4.691570934209114,baseline,0.1248157248157249,0.08108108108108114,-0.09115479115479108
2025-04-30,SST,AR,3.6948459184112927,baseline,-0.26808584285219794,-0.18656974731741094,-0.3750432675666321
2025-06-20,SST,BC,5.037031971441776,baseline,-0.33821989528795815,-0.4136125654450262,-0.28062827225130893
2025-06-24,SST,AR_TOP,1.9644838286098196,baseline,-0.4626068376068375,-0.3344017094017093,-0.23931623931623924
2024-05-23,SSTI,SOS,3.228073149403091,baseline,-0.012899262899262909,-0.08353808353808356,-0.2641277641277642
2024-06-18,SSTI,UT,-0.05559131954837412,baseline,-0.1650557620817843,-0.112267657992565,0.024535315985130035
2025-08-13,SSTI,BC,4.535867783545401,baseline,-0.04633204633204635,-0.037065637065636925,-0.00617760617760621
2025-08-19,SSTI,AR_TOP,3.4653442480329497,baseline,0.017391304347825987,-0.06640316205533592,-0.04901185770750993
2025-11-13,SSTI,SC,5.4191814375354666,baseline,-0.18646408839779016,-0.14088397790055252,0.04834254143646399
2025-12-09,SSTI,AR,0.9101191212973243,baseline,0.036601307189542354,0.0352941176470587,
2024-03-08,SSTK,SOS,1.928394557417054,baseline,-0.03630232096806185,-0.07954770878793882,-0.13152152350724056
2025-01-03,SSTK,SC,5.129505283337963,baseline,-0.08929138862408637,0.014934858595487821,-0.05401970130282807
2025-01-07,SSTK,AR,3.2922012958048477,baseline,-0.08869565217391295,-0.1440579710144927,-0.10086956521739132
2025-02-19,SSTK,UT,-0.47706053505795326,baseline,-0.15467359050445106,-0.23071216617210688,-0.2741097922848664
2025-03-31,SSTK,SOW,1.576183843261693,baseline,-0.17069243156199676,-0.1857219538378958,-0.09822866344605463
2025-10-15,SSTK,BC,4.64639993354741,baseline,-0.04127224536160545,-0.051117001135933426,-0.16584627035213928
2025-10-16,SSTK,AR_TOP,1.9816673012881931,baseline,0.010782747603833798,-0.020367412140575025,-0.1613418530351437
2025-04-07,SSUS,SC,2.5787800895042388,baseline,0.06586826347305363,0.04491017964071853,0.10941752857920517
2025-04-09,SSUS,AR,4.363002512705828,baseline,-0.03194872819923744,0.005245087000635085,0.040920787294390415
2024-08-05,SSXU,SC,5.858624433656902,baseline,0.03057784320942214,0.07913139492086851,0.07618329039381666
2024-08-06,SSXU,AR,1.5225751844173803,baseline,0.04391767732451313,0.07065417126056595,0.06916574788680618
2025-04-04,SSXU,SOW,3.146244293331652,baseline,0.03949640501957519,0.05849472289622937,0.1272459323875732
2024-02-09,SSYS,UT,,baseline,0.026214340786430146,-0.009252120277563725,-0.030069390902081716
2024-04-15,SSYS,SOW,1.699227889902971,baseline,0.016546018614270963,0.03619441571871773,-0.013443640124095269
2024-04-16,SSYS,SPRING,2.4615315478755964,baseline,-0.0060301507537686705,-0.02311557788944707,-0.019095477386934623
2025-08-19,SSYS,SC,5.083262271918126,baseline,0.013195098963242335,-0.04429783223374162,-0.07257304429783218
2025-08-21,SSYS,AR,1.283037336211745,baseline,0.042711234911792184,-0.04921077065923862,-0.02228412256267409
2025-10-20,SSYS,BC,3.033568040234843,baseline,-0.042604501607717005,-0.1487138263665595,-0.31430868167202575
2025-10-21,SSYS,AR_TOP,0.7073615561037581,baseline,-0.06639676113360327,-0.20080971659919034,-0.31174089068825905
2024-02-26,ST,SOS,2.9054515211918717,baseline,0.02178332849259368,0.03078710426953246,0.03601510310775491
2024-03-05,ST,SOS,1.99430261735092,baseline,0.053081686818047924,0.05249189029784729,0.08404600412857577
2024-12-13,ST,UT,0.037170073873220355,baseline,-0.10306223246624968,-0.10701350016463618,-0.07243990780375364
2025-02-12,ST,BC,2.4959080554813617,baseline,0.06997500892538366,0.027490182077829273,-0.05533737950731887
2025-02-27,ST,AR_TOP,0.9354838022645213,baseline,-0.03266157053509389,-0.08061153578874214,-0.09242529534398891
2025-04-09,ST,SC,2.735672111478769,baseline,-0.08189655172413779,0.03639846743295028,0.07567049808429127
