impl,symbol,time,event_sc,event_ar,event_st,event_spring,event_test,event_sos,event_bc,event_sow,bc_score,spring_score,composite_score,debug,event,direction,role,event_date,bar_index,matched_spring_bar_index,matched_spring_date,bars_since_spring
kapman_v0_handwritten_structural,PANW,2024-02-26,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-02-26', 'idx': 41, 'label': 'SOS', 'score': 3.9182923640531904}}",SOS,UP,ENTRY,2024-02-26,41,40,2024-02-23,1
kapman_v0_handwritten_structural,SENS,2024-12-26,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-12-26', 'idx': 252, 'label': 'SOS', 'score': 3.524996626481388}}",SOS,UP,ENTRY,2024-12-26,252,240,2024-12-09,12
