symbol,date,event,prior_regime,base_event,detector
FNB,2024-11-06,SOS:UNKNOWN,UNKNOWN,SOS,contextual
FNB,2025-04-04,SPRING:DISTRIBUTION,DISTRIBUTION,SPRING,contextual
FNB,2025-10-14,BC:ACCUMULATION,ACCUMULATION,BC,contextual
FNCL,2024-03-14,SOW:UNKNOWN,UNKNOWN,SOW,contextual
FNCL,2024-03-20,BC:MARKDOWN,MARKDOWN,BC,contextual
FNCL,2024-03-20,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
FNCL,2024-07-16,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual
FND,2024-03-14,SOS:UNKNOWN,UNKNOWN,SOS,contextual
FND,2025-08-22,BC:ACCUMULATION,ACCUMULATION,BC,contextual
FND,2025-10-30,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
FNDA,2024-03-14,SOS:UNKNOWN,UNKNOWN,SOS,contextual
FNDA,2025-02-21,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
FNDA,2025-08-22,BC:MARKDOWN,MARKDOWN,BC,contextual
FNDC,2025-04-07,SOW:UNKNOWN,UNKNOWN,SOW,contextual
FNDE,2024-10-08,BC:UNKNOWN,UNKNOWN,BC,contextual
FNDE,2025-08-01,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
FNDX,2024-03-14,SOS:UNKNOWN,UNKNOWN,SOS,contextual
FNDX,2025-10-14,BC:ACCUMULATION,ACCUMULATION,BC,contextual
FNF,2024-01-29,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
FNF,2024-02-06,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual
FNF,2024-03-14,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
FNF,2024-11-25,BC:MARKDOWN,MARKDOWN,BC,contextual
FNGR,2025-05-13,BC:UNKNOWN,UNKNOWN,BC,contextual
FNKO,2024-03-04,SOS:UNKNOWN,UNKNOWN,SOS,contextual
FNKO,2024-03-04,SOW:UNKNOWN,UNKNOWN,SOW,contextual
FNKO,2025-05-12,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
FNLC,2025-12-10,BC:ACCUMULATION,ACCUMULATION,BC,contextual
FNLC,2025-12-10,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
FNOV,2024-04-04,SOW:UNKNOWN,UNKNOWN,SOW,contextual
FNOV,2024-07-01,BC:MARKDOWN,MARKDOWN,BC,contextual
FNOV,2024-11-06,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
FNV,2025-09-19,BC:UNKNOWN,UNKNOWN,BC,contextual
FNWB,2024-04-10,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
FNWB,2025-02-12,BC:MARKUP,MARKUP,BC,contextual
FNY,2024-07-16,BC:UNKNOWN,UNKNOWN,BC,contextual
FNY,2024-11-05,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
FOA,2024-03-08,SOW:UNKNOWN,UNKNOWN,SOW,contextual
FOA,2024-11-11,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
