date,symbol,event,score,detector,fwd_5,fwd_10,fwd_20
2025-04-04,FN,SC,3.909994608662333,baseline,0.10571244810851899,0.008594983336256856,0.29158627141437177
2025-04-07,FN,AR,2.607639899536833,baseline,0.06002675287036019,-0.012707613421023334,0.14173447776167647
2024-11-06,FNB,SOS,5.160449959675338,baseline,-0.004186602870813405,-0.018540669856459302,-0.010765550239234423
2024-12-05,FNB,UT,-0.10055351832793821,baseline,-0.035066505441354145,-0.12938331318016927,-0.10701330108827078
2025-04-04,FNB,SPRING,2.6935906551406066,baseline,0.027003484320557325,0.08449477351916368,0.18902439024390238
2025-04-09,FNB,SC,2.591764288181092,baseline,-0.02704852824184567,0.06682577565632464,0.09944311853619725
2025-04-23,FNB,AR,0.6669968397228742,baseline,-0.006828528072837625,0.02427921092564489,0.04855842185128978
2025-10-14,FNB,BC,4.637452010664978,baseline,-0.03908188585607941,-0.030397022332506185,-0.002481389578163906
2025-10-15,FNB,AR_TOP,1.7588088722504127,baseline,-0.030398986700443276,-0.01899936668777702,0.026599113362888005
2024-03-14,FNCL,SOW,1.9435761206822393,baseline,0.028024369016536044,0.03394255874673613,-0.019147084421235916
2024-03-20,FNCL,BC,4.5596464394775,baseline,0.008366057708724561,-0.011439303397643874,-0.04473279836093558
2024-03-20,FNCL,SPRING,4.5596464394775,baseline,0.008366057708724561,-0.011439303397643874,-0.04473279836093558
2024-03-22,FNCL,AR_TOP,1.6724041882533747,baseline,0.01132463967055597,0.007892930679478383,-0.015099519560741292
2024-07-16,FNCL,SOS,1.7110374255848533,baseline,-0.00551500405514993,0.007299270072992803,-0.029521492295214946
2024-08-01,FNCL,UT,3.6318064129304544,baseline,-0.02609123728257301,0.00475877912701006,0.045782737118477135
2025-04-07,FNCL,SC,2.7647287506997142,baseline,0.06687326700375129,0.07046158864785501,0.11988256401892006
2025-04-09,FNCL,AR,4.098839486838299,baseline,-0.01956620658273933,0.02093129076293021,0.05824359168815385
2024-03-14,FND,SOS,2.4343307050618312,baseline,0.10200214220977166,0.06797396391200472,-0.07365905907555403
2025-03-03,FND,UT,1.253911585804905,baseline,0.009125475285171047,-0.06757197175448126,-0.12580119500271592
2025-04-04,FND,SC,2.639128640909992,baseline,0.04951048951048964,-0.06265734265734269,0.034965034965035
2025-04-07,FND,AR,1.52252636154655,baseline,0.0010964912280704286,-0.06387061403508765,0.002330043859649189
2025-08-22,FND,BC,2.633087577798257,baseline,-0.06930243126562141,-0.0034083162917518672,-0.07941376959781865
2025-08-25,FND,AR_TOP,1.037137424681821,baseline,-0.047366518018560844,0.04628178859828869,-0.011932023622996168
2025-10-30,FND,SOW,2.1141828569078562,baseline,-0.09460083064143987,-0.05814490078449486,-0.02138132594985398
2024-03-14,FNDA,SOS,2.000894010254159,baseline,0.029025191675793982,0.04107338444687847,-0.011865644395764874
2024-11-29,FNDA,UT,-0.9225350296961548,baseline,-0.010862818125387919,-0.03165735567970207,-0.08193668528864062
2025-02-21,FNDA,SOW,4.1158506909722,baseline,-0.005804028678729867,-0.03994537384772956,-0.055308979173779416
2025-08-22,FNDA,BC,3.273120332769609,baseline,-0.0006412311638345214,0.011221545367104735,0.010580314203270325
2025-09-19,FNDA,AR_TOP,0.7122347737776659,baseline,-0.009200507614213205,-0.0028553299492385387,-0.030139593908629414
2025-11-21,FNDA,SC,2.261408331134405,baseline,0.042328042328042326,0.047949735449735575,0.0641534391534393
2025-11-25,FNDA,AR,0.9045211004741938,baseline,0.01693290734824271,0.03258785942492004,0.02651757188498416
2025-04-07,FNDB,SC,2.8976070455162173,baseline,0.051690821256038744,0.04154589371980677,0.08067632850241546
2025-04-09,FNDB,AR,4.16236634837701,baseline,-0.02468007312614251,0.010968921389396868,0.03290676416819016
2025-04-07,FNDC,SOW,4.946169285907616,baseline,0.09736123748862613,0.1282984531392175,0.1737943585077344
2025-04-09,FNDC,SC,3.2196727352012475,baseline,0.03328591749644394,0.07027027027027022,0.09473684210526301
2025-04-11,FNDC,AR,0.5873727618394967,baseline,0.027995520716685318,0.06187010078387467,0.08678611422172455
2024-10-08,FNDE,BC,2.0165139984933953,baseline,-0.02462296091104954,-0.01231148045552477,-0.01415820252385347
2024-10-09,FNDE,AR_TOP,1.3502670505213805,baseline,0.0015586034912720148,-0.00872817955112215,-0.014650872817955074
2025-04-09,FNDE,SC,4.288481850340459,baseline,0.01867512332628607,0.0599013389711065,0.0842142353770261
2025-06-16,FNDE,UT,-0.6183222090923756,baseline,0.0027339003645199256,0.006379100850546715,0.017922235722964697
2025-08-01,FNDE,SOS,1.8241344280352403,baseline,0.024992472146943667,0.035230352303523116,0.03703703703703698
2025-04-09,FNDF,SC,4.876692380972737,baseline,0.023410404624277348,0.06676300578034677,0.08352601156069372
2025-04-11,FNDF,AR,2.834873244291885,baseline,0.025574712643678277,0.07183908045977017,0.0905172413793105
