date,symbol,transition,prior_regime,new_regime,detector,event,fwd_5,fwd_10,fwd_20
2024-12-05,FNB,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.035066505441354145,-0.12938331318016927,-0.10701330108827078
2024-07-16,FNCL,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP,-0.00551500405514993,0.007299270072992803,-0.029521492295214946
2024-08-01,FNCL,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.02609123728257301,0.00475877912701006,0.045782737118477135
2025-03-03,FND,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,0.009125475285171047,-0.06757197175448126,-0.12580119500271592
2025-10-30,FND,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN,-0.09460083064143987,-0.05814490078449486,-0.02138132594985398
2024-11-29,FNDA,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.010862818125387919,-0.03165735567970207,-0.08193668528864062
2025-02-21,FNDA,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN,-0.005804028678729867,-0.03994537384772956,-0.055308979173779416
2024-10-10,FNDX,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.6610738255033557,-0.6654082774049217,-0.6557606263982103
2025-03-10,FNOV,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,0.008592910848550073,0.021505907626208298,-0.06832867883995697
2025-02-12,FNWB,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.027728085867620766,-0.033094812164579546,-0.09033989266547404
2025-03-03,FNY,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.06239590006406137,-0.03523382447149259,-0.04061499039077521
2024-11-11,FOA,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,0.30310262529832954,-0.056801909307875764,0.05011933174224348
2024-11-13,FOCT,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.0061678110089608,0.0031420924007912188,0.008960782031886438
2024-04-19,FONR,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.032123735871504966,-0.02974419988102317,-0.09339678762641279
