date,symbol,transition,prior_regime,new_regime,detector,event,fwd_5,fwd_10,fwd_20
2024-12-04,CHWY,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.02778607708395575,-0.048102778607708396,0.07439498057962357
2024-04-10,CHY,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.03333333333333344,-0.0008771929824561431,-0.021929824561403466
2024-10-24,CI,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.010778029160382174,0.003927853192559061,0.03717320261437895
2025-04-07,CIA,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,0.0852713178294573,0.1472868217054264,0.054263565891472965
2025-04-07,CIBR,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,0.08733321781320402,0.06238086986657421,0.17969156125454866
2024-05-22,CIG,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.2578125,-0.2421875,-0.25390625
2025-06-27,CIIT,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.639840848806366,-0.3899204244031831,-0.46848806366047746
2024-04-15,CING,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN,0.13589743589743586,0.12064102564102552,0.013974358974359058
2025-04-04,CIO,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,-0.1359999999999999,-0.014000000000000012,-0.02400000000000002
2025-01-07,CISO,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.3176470588235294,-0.388235294117647,-0.42347058823529415
2025-06-30,CIVB,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,0.07456896551724146,-0.07801724137931032,-0.13362068965517238
2025-06-12,CIVI,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,0.03447175231407584,-0.10628790296840085,-0.041174593041812924
2024-03-11,CIX,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP,-0.10335116868487748,0.008448324415657682,-0.035482962545761665
2024-05-08,CIX,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.1594202898550725,-0.08442028985507255,-0.13478260869565228
