symbol,date,event,prior_regime,base_event,detector
DRV,2024-12-18,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
DRV,2025-10-29,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DRVN,2024-03-07,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DRVN,2025-02-24,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
DRVN,2025-02-28,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DRVN,2025-07-10,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DSGN,2025-11-07,BC:UNKNOWN,UNKNOWN,BC,contextual
DSGN,2025-11-07,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DSGN,2025-11-25,SOS:NONE,NONE,SOS,contextual
DSGN,2025-11-25,SOS:NONE,NONE,SOS,contextual
DSGX,2024-03-01,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DSGX,2024-03-11,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
