symbol,date,event,prior_regime,base_event,detector
DGIN,2024-03-13,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DGIN,2024-07-01,BC:MARKDOWN,MARKDOWN,BC,contextual
DGIN,2024-08-28,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DGLY,2024-02-29,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DGLY,2024-03-01,SOS:MARKUP,MARKUP,SOS,contextual
DGLY,2024-08-19,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
DGLY,2024-11-05,BC:MARKDOWN,MARKDOWN,BC,contextual
DGLY,2024-11-05,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
DGRW,2024-09-11,BC:UNKNOWN,UNKNOWN,BC,contextual
DGRW,2024-11-21,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DGS,2024-02-06,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
DGS,2024-08-05,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
DGX,2024-03-14,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DGX,2025-01-30,BC:MARKDOWN,MARKDOWN,BC,contextual
DGX,2025-03-11,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DGX,2025-03-12,SPRING:MARKUP,MARKUP,SPRING,contextual
DGXX,2025-10-27,BC:UNKNOWN,UNKNOWN,BC,contextual
DGXX,2025-11-04,SOS:NONE,NONE,SOS,contextual
DGXX,2025-11-04,SOS:NONE,NONE,SOS,contextual
DH,2024-07-31,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DH,2024-11-12,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
DHCNI,2025-07-31,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DHCNI,2025-08-13,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DHCNL,2024-04-30,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DHCNL,2024-09-20,SOS:MARKDOWN,MARKDOWN,SOS,contextual
DHCNL,2025-07-31,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DHDG,2025-06-26,BC:UNKNOWN,UNKNOWN,BC,contextual
DHDG,2025-07-22,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DHI,2024-04-04,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DHI,2025-07-22,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DHIL,2024-05-09,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DHIL,2025-04-04,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
DHIL,2025-05-02,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
DHIL,2025-07-01,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DHR,2024-03-25,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DHR,2025-04-04,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
DHR,2025-04-09,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
DHR,2025-10-01,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DHS,2024-04-04,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DHT,2024-11-27,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
DHT,2025-04-04,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
DHT,2025-09-04,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DHT,2025-10-30,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DHX,2024-02-26,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DHX,2024-05-01,SOS:MARKUP,MARKUP,SOS,contextual
DHX,2025-05-08,BC:MARKUP,MARKUP,BC,contextual
DIA,2025-08-22,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DIA,2025-09-11,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DIAL,2024-04-30,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DIBS,2024-02-29,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DIBS,2024-03-11,SOS:MARKUP,MARKUP,SOS,contextual
DIBS,2025-11-12,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DIBS,2025-11-12,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DIEM,2025-04-08,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DIHP,2025-04-07,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
DIHP,2025-04-09,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
DIM,2024-08-23,BC:UNKNOWN,UNKNOWN,BC,contextual
DIM,2024-10-01,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DIN,2025-03-05,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
DIN,2025-04-07,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
DIN,2025-11-25,BC:NONE,NONE,BC,contextual
DIN,2025-11-25,BC:NONE,NONE,BC,contextual
DINT,2024-10-01,BC:UNKNOWN,UNKNOWN,BC,contextual
DINT,2024-10-07,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DIOD,2024-03-07,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DIOD,2024-11-25,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DIOD,2025-02-11,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
