date,symbol,sequence_id,detector,event,fwd_5,fwd_10,fwd_20
2025-04-10,CHT,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.02989690721649496,0.006443298969072142,0.10567010309278357
2025-09-24,CHW,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.002645502645502784,0.02777777777777768,-0.01058201058201047
2024-12-05,CHWY,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.025748310267138752,0.04538139684583187,0.19311232700354042
2025-08-01,CHY,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.007393715341959428,0.001848428835489857,0.012939001848428777
2025-12-02,CHYM,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.10963910461397885,0.15440840566468705,
2025-10-06,CI,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.025017327304531434,0.012706689989768538,-0.14644047658338555
2025-09-29,CIA,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.009380863039399667,0.0412757973733584,0.028142589118199002
2025-07-07,CIB,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.0033385265969285705,0.018695748942799906,-0.006231916314266672
2025-07-01,CIBR,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.025530771298038157,-0.014512227895726926,-0.009540446116635404
2025-12-12,CIEN,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.05447720197765982,,
2025-09-11,CIFR,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.1885656970912737,0.16950852557673013,0.8044132397191572
2025-03-14,CIG,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.036649214659685736,-0.05235602094240832,-0.10994764397905754
2025-05-30,CIG.C,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.11221122112211213,-0.10300330033003291,-0.08910891089108908
2025-10-24,CIGI,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.03926528154170439,-0.08753387533875356,-0.15435109906654632
2025-07-08,CIGL,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.8328924162257496,-0.8531746031746031,-0.9078483245149912
2025-10-20,CIIT,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.4925373134328357,-0.0746268656716419,-0.1852238805970149
2024-09-25,CIL,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.003423102604050765,-0.0030091253060315903,-0.022701980859114235
2025-10-15,CING,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.08750000000000002,-0.10999999999999999,-0.050000000000000044
2025-05-14,CINT,SEQ_FAILED_ACCUM,sequence,SEQ_FAILED_ACCUM,-0.05563909774436093,-0.08721804511278197,-0.11428571428571443
2025-05-15,CINT,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.010869565217391353,-0.06832298136645965,-0.10403726708074545
2025-03-05,CION,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.013114754098360715,-0.1057377049180327,-0.1418032786885245
2025-10-15,CISO,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.13636363636363646,-0.16666666666666663,-0.24545454545454548
2025-06-16,CISS,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.01388888888888895,-0.06388888888888888,-0.025000000000000133
2024-11-07,CIVB,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.03365165984538443,0.0250113688040019,0.02819463392451116
2025-06-30,CIX,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.04365826119683858,-0.026721866767030478,-0.12834023334587885
2025-05-02,CJMB,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.08914728682170536,0.07558139534883712,-0.06976744186046513
2025-03-11,CL,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.048990435706695035,-0.047927736450584346,-0.05844845908607865
2024-11-18,CLAR,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.09976247030878849,0.08313539192399033,0.16508313539192399
2025-11-06,CLB,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.01504251144538904,-0.09156311314584686,0.1007194244604317
2024-11-07,CLBK,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.0242424242424244,0.0022038567493114503,-0.02920110192837455
2025-11-14,CLBT,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.08509485094850955,-0.07100271002710024,-0.032520325203251876
2025-08-29,CLCO,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.04202719406674904,-0.028430160692212603,0.1742892459826948
2025-11-07,CLDI,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.04895104895104896,-0.04195804195804187,0.027972027972027913
2025-11-13,CLDT,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.04477611940298509,0.011940298507462588,0.03134328358208949
2025-08-20,CLDX,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.0818573480134035,0.09047391096218282,0.24078506462422222
2025-10-21,CLF,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.05227781926811037,-0.2023898431665423,-0.16430171769977597
2025-05-30,CLGN,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.389937106918239,-0.5534591194968554,-0.5723270440251572
2025-08-08,CLH,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.024783983140147514,0.047376185458377185,0.004510010537407849
2025-04-16,CLIK,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.6161144358487812,-0.6842796672018684,0.03605313092979112
2024-12-31,CLIR,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.24305555555555547,-0.10416666666666663,-0.1527777777777778
2024-12-30,CLLS,SEQ_RECOVERY,sequence,SEQ_RECOVERY,0.15384615384615397,-0.098901098901099,-0.13186813186813184
