date,symbol,event,prior_regime,base_event,detector,fwd_5,fwd_10,fwd_20
2024-04-04,CHT,SOW:UNKNOWN,UNKNOWN,SOW,contextual,0.0002564102564102111,-0.021538461538461617,-0.03230769230769226
2025-04-03,CHT,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.022177419354838745,0.007056451612903247,0.06048387096774199
2025-04-09,CHT,BC:MARKUP,MARKUP,BC,contextual,0.018390804597701038,0.0045977011494253706,0.07330779054916992
2025-04-09,CHT,SPRING:MARKUP,MARKUP,SPRING,contextual,0.018390804597701038,0.0045977011494253706,0.07330779054916992
2025-09-10,CHW,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.013513513513513375,0.021621621621621623,0.04999999999999982
2024-11-22,CHWY,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.03611349957007737,-0.11464603038119803,0.0005732301519059124
2024-12-04,CHWY,BC:MARKUP,MARKUP,BC,contextual,-0.02778607708395575,-0.048102778607708396,0.07439498057962357
2024-04-01,CHY,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.00690250215703192,-0.06298533218291635,-0.021570319240724722
2025-07-18,CHY,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.0,-0.01903898458748854,-0.017225747960108784
2025-11-07,CHYM,BC:NONE,NONE,BC,contextual,-0.07079646017699126,-0.09242871189773838,0.17600786627335308
2025-11-07,CHYM,BC:NONE,NONE,BC,contextual,-0.07079646017699126,-0.09242871189773838,0.17600786627335308
2025-12-10,CHYM,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.06792452830188678,0.004905660377358512,
2025-12-10,CHYM,SOS:NONE,NONE,SOS,contextual,-0.06792452830188678,0.004905660377358512,
2024-04-15,CI,SOS:UNKNOWN,UNKNOWN,SOS,contextual,0.012267125250788213,0.02161077672685585,0.0006878761822872725
2025-10-03,CI,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.0330225080385852,-0.03771704180064317,-0.21411575562700969
2024-01-30,CIA,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,-0.02768166089965396,-0.01038062283737029,-0.04844290657439454
2024-02-09,CIA,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual,-0.03125,-0.03125,-0.1875
2024-03-01,CIA,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,-0.14652014652014644,-0.20146520146520142,-0.2271062271062272
2025-09-19,CIA,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.028862478777589073,-0.11714770797962637,-0.018675721561969394
2025-11-05,CIA,SOS:NONE,NONE,SOS,contextual,-0.06105610561056096,-0.05610561056105612,-0.1188118811881188
2025-11-05,CIA,SOS:NONE,NONE,SOS,contextual,-0.06105610561056096,-0.05610561056105612,-0.1188118811881188
2025-06-24,CIB,BC:UNKNOWN,UNKNOWN,BC,contextual,0.016677785190126748,-0.00022237046920159376,0.0
2025-10-02,CIB,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.06035825545171347,0.09637850467289732,0.12675233644859807
2024-02-21,CIBR,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.04693539480949749,0.05043254187373458,0.04233388551444883
2024-04-15,CIBR,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,-0.004857997010463522,0.02746636771300448,0.022795216741405167
2025-06-23,CIBR,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.028019586507072924,0.029379760609358208,0.007889009793253576
2025-10-07,CIBR,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.004721930745015701,0.010755508919202628,-0.010755508919202406
2025-12-11,CIEN,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.13062672773032968,,
2025-12-11,CIEN,BC:NONE,NONE,BC,contextual,-0.13062672773032968,,
2025-09-09,CIFR,BC:UNKNOWN,UNKNOWN,BC,contextual,0.24837310195227746,0.5347071583514098,0.7082429501084597
2025-09-17,CIFR,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.14216478190630055,0.017770597738287375,0.698707592891761
