symbol,date,sequence_id,detector,event
CHT,2025-04-10,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CHW,2025-09-24,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CHWY,2024-12-05,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CHY,2025-08-01,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CHYM,2025-12-02,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CI,2025-10-06,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CIA,2025-09-29,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CIB,2025-07-07,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CIBR,2025-07-01,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CIEN,2025-12-12,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CIFR,2025-09-11,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CIG,2025-03-14,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CIG.C,2025-05-30,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CIGI,2025-10-24,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CIGL,2025-07-08,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CIIT,2025-10-20,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CIL,2024-09-25,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CING,2025-10-15,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CINT,2025-05-14,SEQ_FAILED_ACCUM,sequence,SEQ_FAILED_ACCUM
CINT,2025-05-15,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CION,2025-03-05,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CISO,2025-10-15,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CISS,2025-06-16,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CIVB,2024-11-07,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CIX,2025-06-30,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CJMB,2025-05-02,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CL,2025-03-11,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLAR,2024-11-18,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLB,2025-11-06,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLBK,2024-11-07,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLBT,2025-11-14,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLCO,2025-08-29,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLDI,2025-11-07,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLDT,2025-11-13,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLDX,2025-08-20,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLF,2025-10-21,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLGN,2025-05-30,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLH,2025-08-08,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLIK,2025-04-16,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLIR,2024-12-31,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLLS,2024-12-30,SEQ_RECOVERY,sequence,SEQ_RECOVERY
CLLS,2025-10-09,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLMB,2025-08-01,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLMT,2025-09-17,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLNE,2025-06-04,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLNN,2025-11-03,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLOB,2025-11-04,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLOU,2025-01-31,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLOV,2025-11-05,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLOZ,2025-09-25,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLPR,2025-06-03,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLPS,2025-10-20,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLPT,2025-10-01,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLRB,2024-07-23,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLS,2025-07-31,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLSE,2024-04-04,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLSK,2025-09-25,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLSM,2025-10-16,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLVT,2025-06-27,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLW,2025-01-07,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLWT,2025-10-09,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
CLX,2024-08-05,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
