symbol,date,event,score,detector
CHT,2024-04-04,SOW,1.693652347560979,baseline
CHT,2024-09-27,UT,-0.27832588561171356,baseline
CHT,2025-04-03,SOS,3.8460509592513974,baseline
CHT,2025-04-09,BC,2.9462014021185325,baseline
CHT,2025-04-09,SPRING,2.9462014021185325,baseline
CHT,2025-04-10,AR_TOP,0.7185090758237243,baseline
CHT,2025-11-06,SC,3.0746005241374097,baseline
CHT,2025-11-10,AR,0.8292364852001276,baseline
CHTR,2025-10-31,SC,2.9019800449619737,baseline
CHW,2025-04-07,SC,2.0254788125268584,baseline
CHW,2025-04-08,AR,2.144916710411726,baseline
CHW,2025-09-10,BC,2.633161404928096,baseline
CHW,2025-09-24,AR_TOP,1.9944336058552037,baseline
CHW,2025-10-10,UT,4.549733698350316,baseline
CHWY,2024-06-27,UT,5.614424070612493,baseline
CHWY,2024-11-22,SOS,2.7309314716334203,baseline
CHWY,2024-12-04,BC,2.495252519044259,baseline
CHWY,2024-12-05,AR_TOP,1.3626702336826995,baseline
CHY,2024-04-01,SOS,3.874464154002589,baseline
CHY,2024-04-10,UT,0.6994498950874475,baseline
CHY,2025-04-07,SC,2.191276402777004,baseline
CHY,2025-04-08,AR,2.6733179659814437,baseline
CHY,2025-07-18,BC,5.733832156559429,baseline
CHY,2025-08-01,AR_TOP,2.0950949220935677,baseline
CHYM,2025-09-23,UT,0.9452085972402969,baseline
CHYM,2025-11-07,BC,4.108873131846015,baseline
CHYM,2025-12-02,AR_TOP,0.6068315455865433,baseline
CHYM,2025-12-10,SOS,2.6463049239556318,baseline
CI,2024-04-15,SOS,1.9117552196672527,baseline
CI,2024-10-24,UT,-0.8078552164948327,baseline
CI,2025-10-03,BC,2.7687624059020055,baseline
CI,2025-10-06,AR_TOP,1.3348836025764121,baseline
CI,2025-11-03,SC,2.4045643028189065,baseline
CIA,2024-01-30,SPRING,,baseline
CIA,2024-02-09,SPRING,,baseline
CIA,2024-03-01,SOW,1.6997539813735958,baseline
CIA,2025-04-07,SC,3.9720190779490174,baseline
CIA,2025-04-09,AR,2.89795483964192,baseline
CIA,2025-09-19,BC,4.6704902166990045,baseline
CIA,2025-09-29,AR_TOP,1.342190726004773,baseline
CIA,2025-11-05,SOS,2.0700091374196568,baseline
CIA,2025-11-06,UT,1.8970577881245687,baseline
CIB,2025-06-24,BC,2.544582426245047,baseline
CIB,2025-07-07,AR_TOP,0.8781493102329284,baseline
CIB,2025-10-02,SOS,1.7783382741836442,baseline
CIBR,2024-02-21,SPRING,,baseline
CIBR,2024-04-15,SOW,3.3685023886757457,baseline
CIBR,2025-04-07,SC,2.6472051841138966,baseline
CIBR,2025-04-09,AR,4.224271204837477,baseline
CIBR,2025-06-23,BC,2.223113963425513,baseline
CIBR,2025-07-01,AR_TOP,2.427848655494476,baseline
CIBR,2025-09-23,UT,0.27764279408886766,baseline
CIBR,2025-10-07,SOS,2.8844135786773353,baseline
CIEN,2025-12-11,BC,2.544392025515322,baseline
CIEN,2025-12-12,AR_TOP,2.3903778163617164,baseline
CIFR,2025-09-09,BC,2.5672766133373024,baseline
CIFR,2025-09-11,AR_TOP,0.511418897372481,baseline
CIFR,2025-09-17,SOS,2.030601242225805,baseline
CIG,2024-03-13,SOS,2.5142862129932233,baseline
CIG,2024-05-22,UT,0.5981539612689662,baseline
CIG,2025-03-05,BC,2.462060414227289,baseline
CIG,2025-03-14,AR_TOP,1.1158167392501817,baseline
CIG,2025-05-23,SC,2.2108794950896553,baseline
CIG.C,2024-05-21,SOS,1.5422040820730367,baseline
CIG.C,2024-05-22,UT,2.8001345632024877,baseline
CIG.C,2024-12-03,SC,3.443933098136004,baseline
CIG.C,2024-12-09,AR,0.6649841366118538,baseline
CIG.C,2025-05-29,BC,4.480445764462618,baseline
CIG.C,2025-05-30,AR_TOP,2.0790402880736942,baseline
CIGI,2024-05-02,SPRING,1.0543951669483813,baseline
CIGI,2025-04-09,SC,2.6992949245817504,baseline
CIGI,2025-04-11,AR,3.2372172834994855,baseline
CIGI,2025-10-23,BC,4.738756855097487,baseline
CIGI,2025-10-24,AR_TOP,1.6760092246011096,baseline
CIGL,2025-06-30,UT,6.089924189121979,baseline
CIGL,2025-07-02,BC,2.696643390743796,baseline
CIGL,2025-07-08,AR_TOP,0.5897779201822281,baseline
CIGL,2025-07-09,SOS,3.1014057402540747,baseline
CIIT,2025-06-17,SOS,1.5800818973208002,baseline
CIIT,2025-06-27,UT,-0.7423965576529609,baseline
CIIT,2025-10-17,BC,5.615165725278036,baseline
CIIT,2025-10-20,AR_TOP,1.512631502986343,baseline
CIL,2024-09-11,BC,4.51183128084482,baseline
CIL,2024-09-25,AR_TOP,0.6366990546139703,baseline
CIL,2024-09-30,SOS,3.3671755138035153,baseline
CIL,2024-09-30,UT,3.3671755138035153,baseline
CIL,2025-04-09,SC,2.386881681191911,baseline
CIL,2025-04-11,AR,0.6789970898798882,baseline
CIM,2024-05-01,SOW,1.792278264742382,baseline
CIM,2025-11-07,SC,2.3941415265450257,baseline
CIM,2025-11-25,AR,1.3397342140781376,baseline
CING,2024-02-01,UT,,baseline
CING,2024-04-15,SOW,1.5163170270798338,baseline
CING,2024-08-15,SOS,5.270077470201582,baseline
CING,2024-10-08,UT,-0.47335936515478316,baseline
CING,2024-11-07,SPRING,5.590964999059226,baseline
CING,2025-05-14,SC,4.950429056963015,baseline
CING,2025-06-09,AR,0.7648171814928322,baseline
CING,2025-10-14,BC,4.500989383079916,baseline
CING,2025-10-15,AR_TOP,1.9411508765944847,baseline
CINT,2024-03-06,SOW,3.4447661161810412,baseline
CINT,2024-08-16,SOS,5.413839214138975,baseline
CINT,2024-08-20,UT,-0.5564838960940375,baseline
CINT,2025-04-29,SC,2.072231137842844,baseline
CINT,2025-05-06,AR,0.8514763375443232,baseline
CINT,2025-05-14,BC,4.861417814516011,baseline
CINT,2025-05-14,SPRING,4.861417814516011,baseline
CINT,2025-05-15,AR_TOP,2.0613526840496013,baseline
CIO,2024-02-26,SOW,1.6455475074236652,baseline
CIO,2025-04-04,SC,3.8033935830612124,baseline
CIO,2025-04-14,AR,0.7754760722916619,baseline
CIO,2025-12-05,BC,3.6964098955117177,baseline
CION,2024-02-27,SOW,3.4370070882797816,baseline
CION,2024-03-04,SPRING,1.5905383482721909,baseline
CION,2024-08-05,SC,4.103562205480327,baseline
CION,2024-08-07,AR,1.2336448496864107,baseline
CION,2025-02-28,BC,3.2006520699817145,baseline
CION,2025-03-05,AR_TOP,0.8545040459551146,baseline
CION,2025-04-04,SOW,2.46855892689177,baseline
CISO,2024-12-09,SOS,4.616330168037014,baseline
CISO,2025-01-07,UT,2.4366270947362763,baseline
CISO,2025-10-14,BC,2.355968917230522,baseline
CISO,2025-10-15,AR_TOP,0.8249876779404296,baseline
CISS,2025-06-13,BC,6.0924058576033175,baseline
CISS,2025-06-16,AR_TOP,2.3288645246214,baseline
CISS,2025-10-07,UT,5.879862663184522,baseline
CIVB,2024-10-30,BC,3.180079923859703,baseline
CIVB,2024-11-07,AR_TOP,2.34575463491768,baseline
CIVB,2025-05-15,SOS,1.5187307096023102,baseline
CIVB,2025-06-30,UT,-0.11197882972855827,baseline
CIVI,2025-04-03,SOW,1.7696512963119313,baseline
CIVI,2025-06-12,SPRING,1.4659945947991413,baseline
CIVI,2025-09-30,SC,2.728315794157942,baseline
CIVI,2025-10-01,AR,2.821121409060356,baseline
CIX,2024-02-14,SPRING,,baseline
CIX,2024-03-11,SOS,4.015736417204128,baseline
CIX,2024-05-08,UT,2.4186548271515673,baseline
CIX,2024-05-13,SOW,2.1570402260914463,baseline
CIX,2024-12-05,SC,3.3204188231273806,baseline
CIX,2024-12-20,AR,3.639674553108227,baseline
CIX,2025-06-27,BC,4.867240879616018,baseline
CIX,2025-06-30,AR_TOP,2.300054786726345,baseline
CJMB,2025-03-19,UT,,baseline
CJMB,2025-04-30,BC,3.377069961849033,baseline
CJMB,2025-05-02,AR_TOP,1.0394909553360925,baseline
CJMB,2025-11-25,SC,4.002250697030665,baseline
CJMB,2025-11-28,AR,1.377451376531106,baseline
CJMB,2025-12-03,SOW,2.5921973795545648,baseline
CKX,2025-01-31,SC,5.110828816702938,baseline
CL,2024-07-30,SOS,2.1302317597474585,baseline
CL,2024-10-01,UT,0.8469642763441456,baseline
CL,2025-03-07,BC,3.0088468270530906,baseline
CL,2025-03-11,AR_TOP,1.1047494146992172,baseline
CL,2025-10-31,SC,4.226229535615107,baseline
CL,2025-11-07,AR,1.0239301235557063,baseline
CLAR,2024-03-04,SOS,2.28800522580589,baseline
CLAR,2024-08-01,UT,2.4746349091984756,baseline
CLAR,2024-11-08,BC,3.3768439032478708,baseline
CLAR,2024-11-18,AR_TOP,1.242249592311303,baseline
CLAR,2025-10-21,SC,3.24035648006475,baseline
CLAR,2025-10-30,AR,0.7751994470284472,baseline
CLB,2024-04-12,SOS,2.99136955123403,baseline
CLB,2024-04-12,UT,2.99136955123403,baseline
CLB,2025-04-09,SC,2.2970066112899907,baseline
CLB,2025-10-23,BC,3.7009783510551495,baseline
CLB,2025-11-06,AR_TOP,0.6784605107139785,baseline
CLBK,2024-01-30,UT,,baseline
CLBK,2024-11-06,BC,4.333978290302783,baseline
CLBK,2024-11-07,AR_TOP,1.6164601158738332,baseline
CLBK,2024-11-12,UT,0.23477179404912715,baseline
CLBT,2024-03-13,SOW,1.615450221592444,baseline
CLBT,2024-08-16,SPRING,1.6169485983561962,baseline
CLBT,2024-11-06,UT,5.823374658095903,baseline
