date,symbol,event,prior_regime,base_event,detector,fwd_5,fwd_10,fwd_20,start_date,end_date,git_sha,run_timestamp
2025-11-20,AAPD,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,-0.0432513049962713,-0.0425055928411632,-0.023117076808352,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-11-20,AAPD,SOW:NONE,NONE,SOW,contextual,-0.0432513049962713,-0.0425055928411632,-0.023117076808352,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-03-28,AAPG,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.0323325635103926,-0.1362586605080831,0.1681293302540416,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-04-08,AAPG,BC:MARKUP,MARKUP,BC,contextual,-0.000513874614594,0.2281603288797531,0.2419116135662897,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-03-08,AAPL,SOW:UNKNOWN,UNKNOWN,SOW,contextual,0.011070110701107,0.0090786622151937,-0.0133544192584783,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-04-11,AAPL,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,-0.0457038391224863,-0.0294218464351005,0.0544446983546618,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-08-08,AAPL,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.0097667320688903,-0.0069326357096141,0.0371920645301939,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-11-05,AAPR,BC:UNKNOWN,UNKNOWN,BC,contextual,0.0073230952690359,0.0050145621048931,0.0138282665362066,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-08-08,AAPU,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.020066889632107,-0.0152359717577108,0.0683760683760683,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-08-08,AAPX,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.0198105081826012,-0.016365202411714,0.066322136089578,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-04-30,AAPY,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,0.0583673067791461,0.0781054153601326,0.0782465851874349,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-06-11,AAPY,BC:MARKDOWN,MARKDOWN,BC,contextual,0.0059700927503312,-0.0005300018928638,0.0387128525459019,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-07-18,AAPY,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.0286820367221158,-0.0295598708592123,0.0041577750761219,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-06-24,AARD,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.1395939086294415,-0.1922588832487309,-0.0970812182741116,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-12-03,AARD,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,0.1718357082984074,0.1081307627829002,,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-12-03,AARD,BC:NONE,NONE,BC,contextual,0.1718357082984074,0.1081307627829002,,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-10-24,AB,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.0341501564129301,-0.0211157455683004,-0.0427528675703858,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-12-20,AB,BC:MARKUP,MARKUP,BC,contextual,-0.0214707461084271,-0.0287171229200214,0.0791733762748256,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-11-21,ABAT,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.2278947368421053,0.168421052631579,0.4605263157894739,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-14,ABAT,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.4616063548102384,-0.5463371579876435,-0.6416593115622242,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-02-01,ABBV,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.0429619905722298,0.0537024882152872,0.0675457962885612,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-04-26,ABBV,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,0.0261245457962659,0.0070793133692519,-0.016038090464854,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-01,ABBV,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.0537687208445862,-0.0743105000409198,-0.078729846959653,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-03-20,ABCB,SOW:UNKNOWN,UNKNOWN,SOW,contextual,0.011557049800378,-0.0149191006513973,-0.0588358898928347,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-07-09,ABCB,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,0.1586396697464125,0.2001179477098487,0.1002555533713387,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-11-06,ABCB,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual,-0.0163058757379813,-0.0425920719707618,-0.031908912004498,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-07-29,ABCB,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.0390334572490707,0.0014297969688306,0.044037746639977,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-01,ABCL,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.0352348993288591,0.0234899328859059,-0.0570469798657717,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-04-12,ABCS,SOW:UNKNOWN,UNKNOWN,SOW,contextual,-0.0130793036750483,0.0043056092843327,0.027090909090909,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-01-13,ABCS,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,0.0446524926069711,0.0437835489341424,0.0249926420092219,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-08-12,ABCS,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.0156134537913279,0.0338660409934037,0.0282949154966507,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-03-01,ABEO,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.0204865556978233,0.1049935979513445,-0.0115236875800256,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-04-08,ABEO,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,0.1388888888888888,0.2083333333333332,0.2187499999999997,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-04-09,ABEO,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,0.1098398169336383,0.2334096109839816,0.2562929061784897,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-04-30,ABEO,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.1974085365853658,-0.1783536585365853,-0.0609756097560975,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-09-11,ABEQ,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.0086398255344953,-0.0094520692743771,-0.0158888227472755,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-30,ABEV,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,0.0434782608695651,0.0956521739130435,0.1043478260869565,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-04-07,ABFL,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,0.0647955647955649,0.0565661815661815,0.1392931392931393,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-02,ABFL,BC:MARKDOWN,MARKDOWN,BC,contextual,-0.0161108048511575,-0.0250826901874311,-0.0074421168687983,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-02-09,ABG,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.0044924045942942,-0.0221841422749166,-0.025009262689885,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-01-30,ABG,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.0089256522592036,-0.0200745439089778,-0.1224743346629178,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-06-04,ABL,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,0.0216666666666667,-0.0533333333333333,-0.1016666666666666,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-11-07,ABL,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,0.0155038759689922,-0.0992248062015505,0.145736434108527,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-11-07,ABL,SPRING:NONE,NONE,SPRING,contextual,0.0155038759689922,-0.0992248062015505,0.145736434108527,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-12-30,ABLLL,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.0181870669745959,-0.2222863741339491,-0.2131928406466513,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-06-04,ABLLL,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,0.0958472465962649,0.0897203051216852,0.0897203051216852,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-07-21,ABLS,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-3.428796749505025e-05,-0.0146152461447467,0.0015558165250857,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
