detector,event,density,median_fwd_20,win_rate_20,p5_fwd_20,stability_delta,event_count,start_date,end_date,git_sha,run_timestamp
transition,ACCUMULATION->MARKUP,176.03020833333335,-0.0192601769622033,0.3919308357348703,-0.4054551282051282,0.014736014494015447,347,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
transition,DISTRIBUTION->MARKDOWN,132.40312500000002,0.0531400966183575,0.7203065134099617,-0.1722003376477208,-0.013051814926168352,261,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
transition,MARKDOWN->ACCUMULATION,636.1437500000001,0.0306069862228942,0.6874003189792663,-0.1372643425968335,-0.004734985990357599,1254,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
transition,MARKUP->DISTRIBUTION,1110.96875,-0.044656106905542906,0.29863013698630136,-0.4411049772785257,-0.002599706879434005,2190,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
