symbol,date,event,score,detector,start_date,end_date,git_sha,run_timestamp
AAMI,2025-08-01,AR_TOP,1.6464629627102243,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAMI,2025-08-05,SOS,3.9923271245719074,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAMI,2025-09-04,UT,3.890418059963929,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAOI,2024-11-21,UT,1.5234386783729663,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAOI,2024-11-29,SOS,2.132194749128604,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAOI,2025-12-10,BC,2.3791922106756127,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAOI,2025-12-12,AR_TOP,0.6895093710064555,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAON,2025-08-11,SC,5.606406709525941,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAON,2025-08-12,AR,3.4976676993180336,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAP,2024-02-28,SOS,3.71287399063254,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAP,2024-03-11,SOS,2.8709802363357166,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAP,2024-08-23,UT,1.6184644063737932,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAP,2025-02-25,SC,3.4645745867752966,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAP,2025-03-07,AR,0.5506486605494173,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAP,2025-04-09,SPRING,0.9997482861951396,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAP,2025-05-22,BC,6.075246670600984,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAP,2025-05-23,AR_TOP,0.9584721461501656,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPB,2025-04-09,SC,3.283623816374708,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPB,2025-04-11,AR,0.904052403100264,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPB,2025-08-08,BC,2.8404130485747285,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPD,2024-03-08,SOS,2.673236256816919,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPD,2024-03-19,UT,1.000801882277384,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
