detector,event,density,median_fwd_20,win_rate_20,p5_fwd_20,stability_delta,start_date,end_date,git_sha,run_timestamp
baseline,AR,2119.4645833333334,0.0211515846358365,0.6334830339321357,-0.1983481646273637,0.012124355283151499,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,AR_TOP,3079.7677083333333,-0.0056179775280899,0.45835581939197695,-0.318830990671563,-0.005806503084079751,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,BC,3349.6468750000004,-0.00937072353417855,0.43400595434998346,-0.3578367618442477,-0.0008480207218873985,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,SC,2664.2958333333336,0.0238402061855671,0.6289085545722713,-0.20435448147292978,0.012673817870348951,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,SOS,2561.822916666667,-0.021188630490956,0.38172152933960335,-0.37066326530612237,0.01357981707720005,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,SOW,1474.696875,0.0212478678754205,0.635322692574601,-0.19855214782134306,0.0258995872262201,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,SPRING,1154.0885416666667,0.0464349213728803,0.7126948775055679,-0.15279927073673436,-0.0005220642263422531,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,UT,2518.703125,-0.0374081496325985,0.32320499479708636,-0.41847132451010577,-0.010839352166872505,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
