date,symbol,event,prior_regime,base_event,detector,fwd_5,fwd_10,fwd_20
2025-11-25,A,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.050508905852417296,-0.08734096692111959,-0.12010178117048342
2025-11-25,A,BC:NONE,NONE,BC,contextual,-0.050508905852417296,-0.08734096692111959,-0.12010178117048342
2024-05-21,AA,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.0036289408029032133,-0.03402132002721703,-0.1158992968927196
2025-10-23,AA,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.08420528151469864,-0.0857000498256103,-0.10737419033383167
2024-04-15,AAAU,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.024121878967414356,-0.021794329242488364,-0.020947947524333377
2024-08-02,AAAU,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.003731343283582045,0.028606965174129195,0.02632669983416247
2025-10-07,AACB,BC:UNKNOWN,UNKNOWN,BC,contextual,0.004541871921182272,0.008866995073891548,0.011822660098522064
2025-10-27,AACB,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.0009765625,0.0029296875,0.0078125
2024-08-19,AACG,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.015651015651015676,-0.03596403596403608,-0.11055611055611059
2025-07-31,AACG,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.2567567567567569,-0.07432432432432434,0.0045045045045044585
2024-02-08,AADR,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.021746880570409965,0.03591800356506236,0.07005347593582889
2024-04-03,AADR,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.011832427246562194,-0.04429165334186114,-0.0273425007994883
2024-05-22,AADR,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.016142890292315526,-0.008159246414258914,-0.031747997817511364
2024-03-04,AAL,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.01080351114112088,-0.04726536124240388,-0.027683997299122187
2025-08-12,AAL,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.018489984591679498,0.013097072419106404,-0.012326656394452962
2025-08-19,AAME,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.008498583569405027,-0.07648725212464591,-0.025495750708215303
2025-12-19,AAME,BC:NONE,NONE,BC,contextual,,,
2025-12-19,AAME,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,,,
2025-07-31,AAMI,BC:UNKNOWN,UNKNOWN,BC,contextual,0.06006221584111038,0.12802105766929883,0.22684852835606617
2025-08-05,AAMI,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.07274360125729684,0.05904804669959596,0.1268522676246071
2024-11-29,AAOI,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.056768558951964976,-0.11620572537603102,-0.1208151382823871
2025-12-10,AAOI,BC:NONE,NONE,BC,contextual,-0.22412807318467687,0.17209834190966267,
2025-12-10,AAOI,BC:NONE,NONE,BC,contextual,-0.22412807318467687,0.17209834190966267,
2024-02-28,AAP,SOS:UNKNOWN,UNKNOWN,SOS,contextual,0.08250526949713954,0.20310147545919888,0.28455284552845517
2024-03-11,AAP,SOS:MARKUP,MARKUP,SOS,contextual,0.11112577537283896,0.11191764550613703,0.03550217764286656
2025-04-09,AAP,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual,-0.07738273080370484,-0.015835076187630803,-0.06214520466089035
2025-05-22,AAP,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.02521862924547491,0.06772422208663809,0.056131787675411715
2025-08-08,AAPB,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.021018593371059158,-0.015359741309620034,0.06911883589329015
2024-03-08,AAPD,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.008970331588132652,-0.017015706806282727,0.009162303664921323
2025-04-07,AAPD,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.13016027197668767,-0.11898980087421074,-0.11364740165128706
2025-11-20,AAPD,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,-0.04325130499627139,-0.04250559284116329,-0.023117076808352066
2025-11-20,AAPD,SOW:NONE,NONE,SOW,contextual,-0.04325130499627139,-0.04250559284116329,-0.023117076808352066
2025-03-28,AAPG,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.0323325635103926,-0.1362586605080831,0.16812933025404164
2025-04-08,AAPG,BC:MARKUP,MARKUP,BC,contextual,-0.0005138746145940676,0.22816032887975313,0.24191161356628976
2024-03-08,AAPL,SOW:UNKNOWN,UNKNOWN,SOW,contextual,0.011070110701107083,0.009078662215193711,-0.013354419258478356
2024-04-11,AAPL,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,-0.04570383912248632,-0.029421846435100596,0.054444698354661814
2025-08-08,AAPL,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.009766732068890338,-0.00693263570961411,0.03719206453019397
2024-11-05,AAPR,BC:UNKNOWN,UNKNOWN,BC,contextual,0.007323095269035962,0.00501456210489315,0.013828266536206613
2025-08-08,AAPU,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.02006688963210701,-0.015235971757710853,0.06837606837606836
2025-08-08,AAPX,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.019810508182601216,-0.01636520241171402,0.06632213608957804
2024-04-30,AAPY,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,0.058367306779146144,0.0781054153601326,0.07824658518743499
2024-06-11,AAPY,BC:MARKDOWN,MARKDOWN,BC,contextual,0.005970092750331224,-0.0005300018928638961,0.038712852545901955
2024-07-18,AAPY,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.02868203672211589,-0.0295598708592123,0.004157775076121917
2025-06-24,AARD,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.13959390862944154,-0.19225888324873097,-0.09708121827411165
2025-12-03,AARD,BC:NONE,NONE,BC,contextual,0.17183570829840744,0.10813076278290024,
2025-12-03,AARD,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,0.17183570829840744,0.10813076278290024,
2024-10-24,AB,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.03415015641293018,-0.021115745568300426,-0.04275286757038588
2024-12-20,AB,BC:MARKUP,MARKUP,BC,contextual,-0.02147074610842714,-0.028717122920021487,0.07917337627482568
2024-11-21,ABAT,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.22789473684210537,0.16842105263157903,0.4605263157894739
2025-10-14,ABAT,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.4616063548102384,-0.5463371579876435,-0.6416593115622242
2024-02-01,ABBV,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.042961990572229825,0.053702488215287225,0.06754579628856128
2024-04-26,ABBV,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,0.026124545796265997,0.007079313369251938,-0.01603809046485405
2025-10-01,ABBV,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.05376872084458628,-0.07431050004091988,-0.07872984695965302
2024-03-20,ABCB,SOW:UNKNOWN,UNKNOWN,SOW,contextual,0.011557049800378083,-0.014919100651397343,-0.058835889892834725
2024-07-09,ABCB,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,0.15863966974641253,0.2001179477098487,0.10025555337133873
2024-11-06,ABCB,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual,-0.016305875737981368,-0.04259207197076187,-0.03190891200449808
2025-07-29,ABCB,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.0390334572490707,0.00142979696883061,0.04403774663997706
2025-10-01,ABCL,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.03523489932885915,0.02348993288590595,-0.057046979865771785
2024-04-12,ABCS,SOW:UNKNOWN,UNKNOWN,SOW,contextual,-0.013079303675048393,0.004305609284332768,0.027090909090909054
2025-01-13,ABCS,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,0.04465249260697113,0.04378354893414249,0.02499264200922191
2025-08-12,ABCS,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.015613453791327947,0.033866040993403734,0.028294915496650752
2024-03-01,ABEO,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.020486555697823317,0.10499359795134455,-0.011523687580025643
2025-04-08,ABEO,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,0.13888888888888884,0.20833333333333326,0.21874999999999978
2025-04-09,ABEO,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,0.10983981693363831,0.2334096109839816,0.25629290617848977
2025-04-30,ABEO,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.19740853658536583,-0.17835365853658536,-0.060975609756097504
2025-09-11,ABEQ,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.008639825534495382,-0.00945206927437714,-0.015888822747275544
2025-10-30,ABEV,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,0.04347826086956519,0.09565217391304359,0.10434782608695659
2025-04-07,ABFL,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,0.06479556479556492,0.05656618156618154,0.13929313929313936
2025-10-02,ABFL,BC:MARKDOWN,MARKDOWN,BC,contextual,-0.016110804851157567,-0.025082690187431145,-0.007442116868798365
2024-02-09,ABG,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.00449240459429423,-0.022184142274916607,-0.025009262689885015
2025-01-30,ABG,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.00892565225920361,-0.020074543908977893,-0.1224743346629178
2025-06-04,ABL,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,0.021666666666666723,-0.053333333333333344,-0.10166666666666668
2025-11-07,ABL,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,0.015503875968992276,-0.0992248062015505,0.145736434108527
2025-11-07,ABL,SPRING:NONE,NONE,SPRING,contextual,0.015503875968992276,-0.0992248062015505,0.145736434108527
2024-12-30,ABLLL,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.018187066974595933,-0.22228637413394914,-0.21319284064665134
2025-06-04,ABLLL,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,0.09584724659626498,0.08972030512168527,0.08972030512168527
2025-07-21,ABLS,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-3.428796749505025e-05,-0.01461524614474674,0.0015558165250857403
2024-03-20,ABLV,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.21678321678321666,-0.2272727272727273,-0.41083916083916083
2024-05-30,ABLV,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual,0.16363636363636358,-0.036363636363636376,-0.045454545454545525
2025-03-07,ABLV,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,-0.4137931034482758,-0.3840229885057471,-0.49390804597701143
2025-09-09,ABLV,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.08798922973362822,-0.13934032118472928,-0.07289162419463413
2024-03-07,ABM,SOW:UNKNOWN,UNKNOWN,SOW,contextual,-0.038292964244521444,0.02998846597462501,0.018454440599769306
2024-06-07,ABM,SOS:MARKDOWN,MARKDOWN,SOS,contextual,-0.0347467608951707,0.006478209658421719,-0.03867294856694148
2025-04-07,ABM,SPRING:DISTRIBUTION,DISTRIBUTION,SPRING,contextual,0.07486263736263754,0.08218864468864484,0.13988095238095233
2025-09-05,ABM,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.051181102362204745,-0.06692913385826771,-0.035018648984666334
2024-04-11,ABNB,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.032160560996251975,-0.01456897594003137,-0.11105065892878718
2025-02-14,ABNB,BC:MARKUP,MARKUP,BC,contextual,-0.10283731879568825,-0.1266261925411969,-0.2136042621732127
2024-03-01,ABOS,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.0581896551724137,-0.09913793103448276,-0.13577586206896552
2025-10-09,ABOS,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.053333333333333344,-0.06222222222222229,-0.15555555555555556
2025-07-23,ABP,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,0.01915839890523441,-0.11597673622990079,-0.15497776257269935
2025-07-25,ABP,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.24508560558021564,-0.22003804692454032,-0.21052631578947367
2024-04-23,ABR,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.02803030303030296,0.01969696969696977,0.04469696969696968
2025-07-22,ABR,BC:MARKUP,MARKUP,BC,contextual,-0.0033840947546531774,-0.002538071065989911,-0.027918781725888353
2024-03-04,ABSI,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.181184668989547,-0.18815331010452963,-0.10452961672473882
