symbol,date,event,prior_regime,base_event,detector
A,2025-11-25,BC:ACCUMULATION,ACCUMULATION,BC,contextual
A,2025-11-25,BC:NONE,NONE,BC,contextual
AA,2024-05-21,SOS:UNKNOWN,UNKNOWN,SOS,contextual
AA,2025-10-23,BC:ACCUMULATION,ACCUMULATION,BC,contextual
AAAU,2024-04-15,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
AAAU,2024-08-02,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
AACB,2025-10-07,BC:UNKNOWN,UNKNOWN,BC,contextual
AACB,2025-10-27,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
AACG,2024-08-19,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
AACG,2025-07-31,BC:ACCUMULATION,ACCUMULATION,BC,contextual
AADR,2024-02-08,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
AADR,2024-04-03,BC:ACCUMULATION,ACCUMULATION,BC,contextual
AADR,2024-05-22,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
AAL,2024-03-04,SOS:UNKNOWN,UNKNOWN,SOS,contextual
AAL,2025-08-12,BC:ACCUMULATION,ACCUMULATION,BC,contextual
AAME,2025-08-19,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
AAME,2025-12-19,BC:NONE,NONE,BC,contextual
AAME,2025-12-19,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
AAMI,2025-07-31,BC:UNKNOWN,UNKNOWN,BC,contextual
AAMI,2025-08-05,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
AAOI,2024-11-29,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
AAOI,2025-12-10,BC:NONE,NONE,BC,contextual
AAOI,2025-12-10,BC:NONE,NONE,BC,contextual
AAP,2024-02-28,SOS:UNKNOWN,UNKNOWN,SOS,contextual
AAP,2024-03-11,SOS:MARKUP,MARKUP,SOS,contextual
AAP,2025-04-09,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual
AAP,2025-05-22,BC:ACCUMULATION,ACCUMULATION,BC,contextual
AAPB,2025-08-08,BC:ACCUMULATION,ACCUMULATION,BC,contextual
AAPD,2024-03-08,SOS:UNKNOWN,UNKNOWN,SOS,contextual
AAPD,2025-04-07,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
AAPD,2025-11-20,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
AAPD,2025-11-20,SOW:NONE,NONE,SOW,contextual
AAPG,2025-03-28,SOS:UNKNOWN,UNKNOWN,SOS,contextual
AAPG,2025-04-08,BC:MARKUP,MARKUP,BC,contextual
AAPL,2024-03-08,SOW:UNKNOWN,UNKNOWN,SOW,contextual
AAPL,2024-04-11,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
AAPL,2025-08-08,BC:ACCUMULATION,ACCUMULATION,BC,contextual
AAPR,2024-11-05,BC:UNKNOWN,UNKNOWN,BC,contextual
AAPU,2025-08-08,BC:ACCUMULATION,ACCUMULATION,BC,contextual
AAPX,2025-08-08,BC:ACCUMULATION,ACCUMULATION,BC,contextual
AAPY,2024-04-30,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
AAPY,2024-06-11,BC:MARKDOWN,MARKDOWN,BC,contextual
AAPY,2024-07-18,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
AARD,2025-06-24,SOS:UNKNOWN,UNKNOWN,SOS,contextual
AARD,2025-12-03,BC:NONE,NONE,BC,contextual
AARD,2025-12-03,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
AB,2024-10-24,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
AB,2024-12-20,BC:MARKUP,MARKUP,BC,contextual
ABAT,2024-11-21,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
ABAT,2025-10-14,BC:ACCUMULATION,ACCUMULATION,BC,contextual
ABBV,2024-02-01,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
ABBV,2024-04-26,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
ABBV,2025-10-01,BC:ACCUMULATION,ACCUMULATION,BC,contextual
ABCB,2024-03-20,SOW:UNKNOWN,UNKNOWN,SOW,contextual
ABCB,2024-07-09,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
ABCB,2024-11-06,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual
ABCB,2025-07-29,BC:ACCUMULATION,ACCUMULATION,BC,contextual
ABCL,2025-10-01,BC:ACCUMULATION,ACCUMULATION,BC,contextual
ABCS,2024-04-12,SOW:UNKNOWN,UNKNOWN,SOW,contextual
ABCS,2025-01-13,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
ABCS,2025-08-12,BC:ACCUMULATION,ACCUMULATION,BC,contextual
ABEO,2024-03-01,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
ABEO,2025-04-08,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
ABEO,2025-04-09,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
ABEO,2025-04-30,BC:ACCUMULATION,ACCUMULATION,BC,contextual
ABEQ,2025-09-11,BC:UNKNOWN,UNKNOWN,BC,contextual
ABEV,2025-10-30,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
ABFL,2025-04-07,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
ABFL,2025-10-02,BC:MARKDOWN,MARKDOWN,BC,contextual
ABG,2024-02-09,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
ABG,2025-01-30,BC:ACCUMULATION,ACCUMULATION,BC,contextual
ABL,2025-06-04,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
