impl,event,direction,role,horizon,mean_ret_dir,median_ret_dir,win_rate,mae_mean_dir,signal_count,ret_p25,ret_p75,composite_rank,symbols_processed,symbols_scored,symbols_failed,bars_evaluated
baseline_tv_heuristic,BC,DOWN,ENTRY,5,-0.004075101893492064,-0.005804953560371473,0.47518796992481205,-0.07702628233143373,1995,-0.0724967329320449,0.06052568241342915,46.0,97,97,0,47519
baseline_tv_heuristic,BC,DOWN,ENTRY,10,-0.018595612002881852,-0.02134652673926135,0.43611670020120724,-0.12101560298322804,1988,-0.10919457932488907,0.06353240934854143,58.333333333333336,97,97,0,47519
baseline_tv_heuristic,BC,DOWN,ENTRY,20,0.01930542286506451,-0.030364986800352156,0.4303030303030303,-0.177995860678996,1980,-0.1620669325472516,0.10122325439882401,54.666666666666664,97,97,0,47519
baseline_tv_heuristic,BC,DOWN,ENTRY,40,0.04984068515759895,-0.034798186604270254,0.44895833333333335,-0.24079022702238245,1920,-0.2179394215024861,0.14932343754264182,49.333333333333336,97,97,0,47519
baseline_tv_heuristic,SOS,UP,ENTRY,5,0.01801508630191876,0.0045071887325500715,0.5318802862719584,-0.04430566776063006,6148,-0.03799397722823586,0.047874727406745365,29.333333333333332,97,97,0,47519
baseline_tv_heuristic,SOS,UP,ENTRY,10,0.040277582520093405,0.011180182363491387,0.54903563255966,-0.06442097673838745,6118,-0.04786207813626722,0.07524075695333016,28.0,97,97,0,47519
baseline_tv_heuristic,SOS,UP,ENTRY,20,0.08171884465569089,0.01667458953450085,0.5561400624691764,-0.09351218294154849,6083,-0.06846710766185732,0.11506012295914703,28.666666666666668,97,97,0,47519
baseline_tv_heuristic,SOS,UP,ENTRY,40,0.16278755364906602,0.0193028590611537,0.5423149256283125,-0.1314414919346525,5849,-0.1027783370243609,0.17049269576263493,32.333333333333336,97,97,0,47519
baseline_tv_heuristic,SOW,DOWN,ENTRY,5,0.002437530257018454,-0.006047497130749591,0.4604334063793523,-0.045443665036079495,4107,-0.04496140794536413,0.03834959125475823,39.666666666666664,97,97,0,47519
baseline_tv_heuristic,SOW,DOWN,ENTRY,10,-0.005329774947679605,-0.014158388264784993,0.43306312945222303,-0.06801256166479291,4071,-0.06799589684050522,0.04167131200980356,48.666666666666664,97,97,0,47519
baseline_tv_heuristic,SOW,DOWN,ENTRY,20,-0.005265478625056157,-0.016758105438485882,0.44223826714801445,-0.1034579667174744,3878,-0.10177190535204092,0.06482698273146975,53.0,97,97,0,47519
baseline_tv_heuristic,SOW,DOWN,ENTRY,40,0.01677167163000655,-0.04338015092877817,0.3864,-0.15477149307859897,3750,-0.15715949707534616,0.06924678362143222,56.666666666666664,97,97,0,47519
baseline_vsa,BC,DOWN,ENTRY,5,0.00663739419218743,0.0,0.4989754098360656,-0.06426288088650586,976,-0.0583797419623516,0.05556406668580183,40.0,97,97,0,47519
baseline_vsa,BC,DOWN,ENTRY,10,-0.006220496915138946,-0.009338755836722501,0.45304437564499483,-0.09665019314797903,969,-0.08378282108691226,0.05985748218527309,51.666666666666664,97,97,0,47519
baseline_vsa,BC,DOWN,ENTRY,20,-0.010780010307236796,-0.025747950895397775,0.42291666666666666,-0.14785436270020444,960,-0.14174086497966373,0.0906378439568094,61.666666666666664,97,97,0,47519
baseline_vsa,BC,DOWN,ENTRY,40,0.004331667845564923,-0.026501419113122926,0.4542553191489362,-0.21020201492156976,940,-0.18387171795387305,0.13395989163789807,57.333333333333336,97,97,0,47519
baseline_vsa,SOS,UP,ENTRY,5,0.018360249803840753,0.005173688100517548,0.5284845755460482,-0.04781454834239806,4441,-0.043352601156069315,0.05591209646052109,31.0,97,97,0,47519
