impl,event,horizon,count,mean_return,median_return,mae_mean,mfe_mean,bc_score_mean,spring_score_mean,composite_score_mean,density
baseline_tv_heuristic,BC,5,1997,-3.1780405196007258,-0.579725561110522,8.172035971499808,-14.609814848872118,35.175933363857524,0.0,35.175933363857524,0.04202529514509985
baseline_tv_heuristic,BC,10,1997,-8.91634717998877,-2.1471312917986602,10.652398677448375,-24.58796614804674,35.175933363857524,0.0,35.175933363857524,0.04202529514509985
baseline_tv_heuristic,BC,20,1997,-17.144231076089792,-3.128760529482556,14.303214087706303,-43.206726832258184,35.175933363857524,0.0,35.175933363857524,0.04202529514509985
baseline_tv_heuristic,BC,40,1997,-33.457921675936646,-2.9736905623943986,14.303214087706303,-43.206726832258184,35.175933363857524,0.0,35.175933363857524,0.04202529514509985
baseline_tv_heuristic,SOS,5,6165,1.7943787763421828,0.4499971824863445,-5.915881104172238,9.1104989634583,10.413911431152053,0.0,22.273560865351946,0.12973757865274943
baseline_tv_heuristic,SOS,10,6165,3.983809849036494,1.081774844151088,-8.101542934469434,14.438399280780695,10.413911431152053,0.0,22.273560865351946,0.12973757865274943
baseline_tv_heuristic,SOS,20,6165,8.070534917694726,1.66508087535681,-11.146728148972992,24.331473766738508,10.413911431152053,0.0,22.273560865351946,0.12973757865274943
baseline_tv_heuristic,SOS,40,6165,15.240436373243035,1.6776222930193156,-11.146728148972992,24.331473766738508,10.413911431152053,0.0,22.273560865351946,0.12973757865274943
baseline_tv_heuristic,SOW,5,4141,-2.665917370278429,-0.6549361663598273,5.156844390271318,-8.720445582558604,0.0,5.751283591479972,15.898366841503728,0.08714408973252805
baseline_tv_heuristic,SOW,10,4141,-5.116918448585001,-1.4144441114773831,6.906443585174654,-13.239448439750076,0.0,5.751283591479972,15.898366841503728,0.08714408973252805
baseline_tv_heuristic,SOW,20,4141,-9.449851458687988,-1.9260400616332818,9.68677248678143,-21.95020802108887,0.0,5.751283591479972,15.898366841503728,0.08714408973252805
baseline_tv_heuristic,SOW,40,4141,-15.29839387182609,-4.3390596015807805,9.68677248678143,-21.95020802108887,0.0,5.751283591479972,15.898366841503728,0.08714408973252805
baseline_vsa,BC,5,981,-1.3613550033712862,-0.005589246290148577,7.7961958948728345,-11.310864269314754,42.40289800860429,0.0,42.40289800860429,0.020644373829415603
baseline_vsa,BC,10,981,-5.736568355543289,-1.0298219266251962,9.809671286684498,-18.851055980578035,42.40289800860429,0.0,42.40289800860429,0.020644373829415603
baseline_vsa,BC,20,981,-11.834129694099635,-2.640487474610701,12.85061005979097,-31.4900854595423,42.40289800860429,0.0,42.40289800860429,0.020644373829415603
baseline_vsa,BC,40,981,-24.929818252010524,-2.1959740475794383,12.85061005979097,-31.4900854595423,42.40289800860429,0.0,42.40289800860429,0.020644373829415603
baseline_vsa,SOS,5,4450,1.836314563182342,0.542359538111332,-6.468576085464689,9.857737686440453,9.344624291842328,6.61868291974045,31.253806328267867,0.09364675182558556
baseline_vsa,SOS,10,4450,5.026316600577082,1.5128834953816126,-8.532734635238459,15.950252255996523,9.344624291842328,6.61868291974045,31.253806328267867,0.09364675182558556
baseline_vsa,SOS,20,4450,9.445398428863385,2.0677179425518,-11.592691762007235,26.724950262163407,9.344624291842328,6.61868291974045,31.253806328267867,0.09364675182558556
baseline_vsa,SOS,40,4450,17.873348654800537,2.52761724554547,-11.592691762007235,26.724950262163407,9.344624291842328,6.61868291974045,31.253806328267867,0.09364675182558556
kapman_v0_chatgpt_wyckoff_core,AR,5,242,2.04411772609312,1.0396930665536064,-5.144678919227886,7.0932788784054654,0.5103008478041557,11.718219284508471,12.228520132312626,0.005092699762200383
kapman_v0_chatgpt_wyckoff_core,AR,10,242,4.8445029583600325,1.9611402740458193,-6.80080211329665,11.610697845704484,0.5103008478041557,11.718219284508471,12.228520132312626,0.005092699762200383
kapman_v0_chatgpt_wyckoff_core,AR,20,242,8.869313115119592,2.9266666259107152,-8.46635228476907,19.362970002633123,0.5103008478041557,11.718219284508471,12.228520132312626,0.005092699762200383
kapman_v0_chatgpt_wyckoff_core,AR,40,242,13.80874053170457,3.745248591351996,-8.46635228476907,19.362970002633123,0.5103008478041557,11.718219284508471,12.228520132312626,0.005092699762200383
kapman_v0_chatgpt_wyckoff_core,BC,5,42,-1.2375162150448928,0.12318433423920844,13.2384531632755,-17.598934410021954,33.80330502970514,0.0,33.80330502970514,0.0008838569835223805
kapman_v0_chatgpt_wyckoff_core,BC,10,42,-5.37606486657314,-1.0573482156243497,17.304143651390092,-26.96428824619195,33.80330502970514,0.0,33.80330502970514,0.0008838569835223805
kapman_v0_chatgpt_wyckoff_core,BC,20,42,-17.467977456446334,-8.404215610494251,21.666463937314614,-52.082108864255666,33.80330502970514,0.0,33.80330502970514,0.0008838569835223805
kapman_v0_chatgpt_wyckoff_core,BC,40,42,-27.167088127406913,3.6833280972737574,21.666463937314614,-52.082108864255666,33.80330502970514,0.0,33.80330502970514,0.0008838569835223805
kapman_v0_chatgpt_wyckoff_core,SOS,5,204,2.207755842542812,0.9118963567151657,-4.318896082864682,7.431914859621068,0.8056227847583797,26.805856693776295,27.61147947853468,0.004293019634251562
kapman_v0_chatgpt_wyckoff_core,SOS,10,204,3.7316958383159995,2.360659087187381,-5.538839449571667,11.363852359140333,0.8056227847583797,26.805856693776295,27.61147947853468,0.004293019634251562
kapman_v0_chatgpt_wyckoff_core,SOS,20,204,6.713844994617182,3.1916141444679575,-7.76016126246594,17.308957690169773,0.8056227847583797,26.805856693776295,27.61147947853468,0.004293019634251562
