symbol,event_date,event,direction,role
ABR,2025-07-22,BC,DOWN,ENTRY
ABSI,2024-03-04,SOS,UP,ENTRY
ABSI,2024-06-17,SOW,DOWN,ENTRY
ABSI,2024-09-10,SPRING,UP,ENTRY
ABSI,2024-12-10,SC,NA,IGNORE
ABSI,2024-12-11,AR,NA,IGNORE
ABSI,2025-10-15,BC,DOWN,ENTRY
ABT,2025-06-24,SOS,UP,ENTRY
ABT,2025-10-01,BC,DOWN,ENTRY
ABT,2025-10-15,SC,NA,IGNORE
ABTS,2024-10-25,SC,NA,IGNORE
ABTS,2024-10-29,AR,NA,IGNORE
ABTS,2025-03-04,SPRING,UP,ENTRY
ABTS,2025-09-22,BC,DOWN,ENTRY
ABTS,2025-10-01,SOS,UP,ENTRY
ABUS,2024-02-07,SPRING,UP,ENTRY
ABUS,2025-04-09,SC,NA,IGNORE
ABUS,2025-04-21,AR,NA,IGNORE
ABUS,2025-09-11,BC,DOWN,ENTRY
ABVC,2025-07-07,BC,DOWN,ENTRY
ABVE,2025-10-03,BC,DOWN,ENTRY
ABVX,2024-12-31,SC,NA,IGNORE
ABVX,2025-11-20,BC,DOWN,ENTRY
ABVX,2025-12-10,SOS,UP,ENTRY
ACA,2024-08-05,SPRING,UP,ENTRY
ACA,2024-08-05,SOW,DOWN,ENTRY
ACA,2024-11-12,SOS,UP,ENTRY
ACA,2025-02-28,SC,NA,IGNORE
ACA,2025-03-05,AR,NA,IGNORE
ACA,2025-10-31,BC,DOWN,ENTRY
ACAD,2024-03-12,SPRING,UP,ENTRY
ACAD,2024-05-09,SOW,DOWN,ENTRY
ACAD,2025-05-08,BC,DOWN,ENTRY
ACAD,2025-08-12,SOS,UP,ENTRY
ACAD,2025-09-24,SC,NA,IGNORE
ACAD,2025-10-15,AR,NA,IGNORE
ACB,2024-04-03,SOS,UP,ENTRY
ACB,2025-12-12,BC,DOWN,ENTRY
ACCO,2024-11-01,BC,DOWN,ENTRY
ACCO,2024-11-11,SOS,UP,ENTRY
ACCO,2025-10-31,SC,NA,IGNORE
ACCO,2025-11-21,AR,NA,IGNORE
ACDC,2024-03-06,SOS,UP,ENTRY
ACDC,2025-04-09,SC,NA,IGNORE
ACDC,2025-10-29,BC,DOWN,ENTRY
ACEL,2025-04-04,SPRING,UP,ENTRY
ACEL,2025-04-07,SC,NA,IGNORE
ACEL,2025-04-08,AR,NA,IGNORE
ACEL,2025-07-21,BC,DOWN,ENTRY
ACES,2024-05-22,SOS,UP,ENTRY
ACES,2025-08-22,BC,DOWN,ENTRY
ACET,2024-04-18,SOS,UP,ENTRY
ACET,2025-02-05,SC,NA,IGNORE
ACET,2025-02-06,AR,NA,IGNORE
ACET,2025-04-10,SOW,DOWN,ENTRY
ACET,2025-10-06,BC,DOWN,ENTRY
ACET,2025-10-06,SPRING,UP,ENTRY
ACGL,2024-04-30,BC,DOWN,ENTRY
ACGL,2024-07-03,SOS,UP,ENTRY
ACGL,2025-07-14,SC,NA,IGNORE
ACGLN,2025-04-11,SOW,DOWN,ENTRY
ACGLN,2025-04-21,SPRING,UP,ENTRY
ACGLN,2025-11-14,SC,NA,IGNORE
ACGLN,2025-12-04,AR,NA,IGNORE
ACGR,2025-12-11,BC,DOWN,ENTRY
ACHC,2024-02-27,SOS,UP,ENTRY
ACHC,2024-08-01,BC,DOWN,ENTRY
ACHC,2025-12-03,SC,NA,IGNORE
ACHC,2025-12-05,AR,NA,IGNORE
ACHR,2025-10-06,BC,DOWN,ENTRY
ACHV,2024-02-23,SPRING,UP,ENTRY
ACHV,2024-02-29,SOW,DOWN,ENTRY
ACHV,2024-11-08,SC,NA,IGNORE
ACHV,2024-12-03,AR,NA,IGNORE
ACHV,2025-10-17,BC,DOWN,ENTRY
ACI,2024-02-26,SOS,UP,ENTRY
ACI,2024-12-10,SC,NA,IGNORE
ACI,2024-12-12,AR,NA,IGNORE
ACI,2025-10-06,SOW,DOWN,ENTRY
ACI,2025-10-07,SPRING,UP,ENTRY
ACI,2025-10-14,BC,DOWN,ENTRY
ACIC,2024-05-10,SOS,UP,ENTRY
ACIC,2024-10-07,SOW,DOWN,ENTRY
ACIC,2024-10-09,SPRING,UP,ENTRY
ACIC,2025-05-09,BC,DOWN,ENTRY
ACIC,2025-08-07,SC,NA,IGNORE
ACIC,2025-08-11,AR,NA,IGNORE
ACIU,2024-05-31,SOS,UP,ENTRY
ACIU,2025-10-29,BC,DOWN,ENTRY
ACIU,2025-12-11,SC,NA,IGNORE
ACIW,2024-11-07,SOS,UP,ENTRY
ACIW,2025-02-28,BC,DOWN,ENTRY
ACLO,2025-02-06,BC,DOWN,ENTRY
ACLS,2024-05-01,SOS,UP,ENTRY
ACLS,2025-04-07,SC,NA,IGNORE
ACLS,2025-04-09,AR,NA,IGNORE
ACLS,2025-10-01,BC,DOWN,ENTRY
ACLX,2024-10-08,SOS,UP,ENTRY
ACLX,2025-04-09,SC,NA,IGNORE
ACLX,2025-05-07,AR,NA,IGNORE
ACLX,2025-08-13,BC,DOWN,ENTRY
ACM,2024-08-08,BC,DOWN,ENTRY
ACMR,2024-03-01,SOS,UP,ENTRY
ACMR,2024-07-18,SOW,DOWN,ENTRY
ACMR,2024-10-04,SPRING,UP,ENTRY
ACMR,2025-08-06,SC,NA,IGNORE
ACMR,2025-08-22,BC,DOWN,ENTRY
ACMR,2025-08-22,AR,NA,IGNORE
ACN,2024-03-05,SOS,UP,ENTRY
ACN,2025-06-20,SC,NA,IGNORE
ACN,2025-06-23,AR,NA,IGNORE
ACN,2025-08-01,SOW,DOWN,ENTRY
ACN,2025-12-03,BC,DOWN,ENTRY
ACNB,2024-11-06,BC,DOWN,ENTRY
ACNT,2025-03-17,BC,DOWN,ENTRY
ACOG,2025-05-19,BC,DOWN,ENTRY
ACON,2025-03-28,SOS,UP,ENTRY
ACON,2025-10-10,BC,DOWN,ENTRY
ACR,2025-10-30,BC,DOWN,ENTRY
ACR,2025-12-03,SOS,UP,ENTRY
ACRE,2024-05-03,SOS,UP,ENTRY
ACRE,2024-05-29,SPRING,UP,ENTRY
ACRE,2024-08-06,SC,NA,IGNORE
ACRE,2024-08-07,AR,NA,IGNORE
ACRE,2024-11-06,SOW,DOWN,ENTRY
ACRE,2025-11-07,BC,DOWN,ENTRY
ACRS,2024-11-11,SOS,UP,ENTRY
ACRS,2025-10-21,BC,DOWN,ENTRY
ACRV,2024-02-27,SOS,UP,ENTRY
ACRV,2025-11-03,BC,DOWN,ENTRY
ACSI,2024-03-11,SOW,DOWN,ENTRY
ACSI,2024-12-05,SOS,UP,ENTRY
ACSI,2024-12-23,BC,DOWN,ENTRY
ACSI,2025-04-01,SC,NA,IGNORE
ACSI,2025-04-02,AR,NA,IGNORE
ACT,2024-03-20,SOW,DOWN,ENTRY
ACT,2024-10-29,SC,NA,IGNORE
ACT,2024-11-06,AR,NA,IGNORE
ACT,2025-04-09,SPRING,UP,ENTRY
ACT,2025-12-10,BC,DOWN,ENTRY
ACTG,2024-02-08,SPRING,UP,ENTRY
ACTG,2024-03-15,SOS,UP,ENTRY
ACTG,2024-08-09,SC,NA,IGNORE
ACTG,2024-08-14,AR,NA,IGNORE
ACTG,2024-11-12,SOW,DOWN,ENTRY
ACTG,2025-11-05,BC,DOWN,ENTRY
ACTU,2024-10-28,SOS,UP,ENTRY
ACTU,2025-12-10,BC,DOWN,ENTRY
ACU,2024-03-01,SOS,UP,ENTRY
ACU,2024-03-04,SPRING,UP,ENTRY
ACU,2024-04-19,SOW,DOWN,ENTRY
ACU,2025-04-17,BC,DOWN,ENTRY
ACU,2025-06-27,SC,NA,IGNORE
ACU,2025-06-30,AR,NA,IGNORE
ACVA,2024-11-18,BC,DOWN,ENTRY
ACVA,2025-08-12,SC,NA,IGNORE
ACVA,2025-08-22,AR,NA,IGNORE
ACVA,2025-10-10,SOW,DOWN,ENTRY
ACWI,2025-04-09,SC,NA,IGNORE
ACWX,2024-08-05,SC,NA,IGNORE
ACWX,2024-08-06,AR,NA,IGNORE
ACWX,2025-04-08,SOW,DOWN,ENTRY
ACWX,2025-04-09,SPRING,UP,ENTRY
ACXP,2025-10-08,BC,DOWN,ENTRY
ACXP,2025-12-08,SC,NA,IGNORE
ADAG,2024-04-01,SOS,UP,ENTRY
ADAG,2024-08-23,BC,DOWN,ENTRY
ADAG,2025-03-27,SC,NA,IGNORE
ADAG,2025-04-01,AR,NA,IGNORE
ADBE,2024-03-05,SOS,UP,ENTRY
ADBE,2025-04-07,SOW,DOWN,ENTRY
ADBE,2025-06-16,SC,NA,IGNORE
ADBE,2025-07-01,AR,NA,IGNORE
ADBE,2025-12-11,BC,DOWN,ENTRY
ADC,2024-03-01,SC,NA,IGNORE
ADC,2024-03-15,AR,NA,IGNORE
ADC,2024-08-06,BC,DOWN,ENTRY
ADCT,2024-01-29,SPRING,UP,ENTRY
ADCT,2024-03-13,SOS,UP,ENTRY
ADCT,2024-11-07,SOW,DOWN,ENTRY
ADCT,2025-06-02,BC,DOWN,ENTRY
ADCT,2025-12-03,SC,NA,IGNORE
ADCT,2025-12-10,AR,NA,IGNORE
ADEA,2024-02-15,SPRING,UP,ENTRY
ADEA,2024-04-23,SOW,DOWN,ENTRY
ADEA,2025-11-03,SC,NA,IGNORE
ADEA,2025-11-05,AR,NA,IGNORE
ADEA,2025-12-22,BC,DOWN,ENTRY
ADFI,2024-11-26,SC,NA,IGNORE
ADFI,2024-12-05,AR,NA,IGNORE
ADGM,2024-11-14,SOS,UP,ENTRY
ADGM,2025-12-16,BC,DOWN,ENTRY
ADI,2024-03-01,SOW,DOWN,ENTRY
ADI,2024-11-25,SPRING,UP,ENTRY
ADI,2025-07-23,SC,NA,IGNORE
ADI,2025-08-12,AR,NA,IGNORE
ADI,2025-11-25,BC,DOWN,ENTRY
ADIL,2024-02-28,SOS,UP,ENTRY
ADIL,2025-05-01,BC,DOWN,ENTRY
ADIV,2024-09-26,SOS,UP,ENTRY
ADIV,2025-03-07,BC,DOWN,ENTRY
ADM,2024-01-29,SPRING,UP,ENTRY
ADM,2024-04-30,SOS,UP,ENTRY
ADM,2024-11-05,SOW,DOWN,ENTRY
ADM,2025-06-16,BC,DOWN,ENTRY
ADM,2025-11-04,SC,NA,IGNORE
ADM,2025-11-18,AR,NA,IGNORE
ADMA,2024-02-29,SOW,DOWN,ENTRY
ADMA,2024-08-09,SOS,UP,ENTRY
ADMA,2025-03-04,SPRING,UP,ENTRY
ADMA,2025-08-07,SC,NA,IGNORE
ADMA,2025-08-18,AR,NA,IGNORE
ADMA,2025-11-05,BC,DOWN,ENTRY
ADME,2024-11-01,SC,NA,IGNORE
ADME,2025-11-11,BC,DOWN,ENTRY
ADNT,2024-03-14,SOS,UP,ENTRY
ADNT,2024-08-06,SC,NA,IGNORE
ADNT,2024-08-23,AR,NA,IGNORE
ADNT,2024-11-06,SOW,DOWN,ENTRY
ADNT,2025-06-11,BC,DOWN,ENTRY
ADNT,2025-11-07,SPRING,UP,ENTRY
ADP,2024-11-06,BC,DOWN,ENTRY
ADP,2025-03-04,SOS,UP,ENTRY
ADP,2025-09-30,SC,NA,IGNORE
ADPT,2024-04-12,SC,NA,IGNORE
ADPT,2024-05-01,AR,NA,IGNORE
ADPT,2025-11-24,BC,DOWN,ENTRY
ADPV,2024-04-02,BC,DOWN,ENTRY
ADPV,2024-05-13,SOS,UP,ENTRY
ADSE,2024-02-07,SPRING,UP,ENTRY
ADSE,2024-12-31,BC,DOWN,ENTRY
ADSE,2025-06-03,SOW,DOWN,ENTRY
ADSE,2025-10-31,SC,NA,IGNORE
ADSE,2025-11-21,AR,NA,IGNORE
ADSK,2024-03-01,SOS,UP,ENTRY
ADSK,2024-06-17,BC,DOWN,ENTRY
ADT,2024-02-28,SPRING,UP,ENTRY
ADT,2024-02-28,SOW,DOWN,ENTRY
ADT,2025-02-25,SC,NA,IGNORE
ADT,2025-02-27,BC,DOWN,ENTRY
ADT,2025-02-27,AR,NA,IGNORE
ADT,2025-07-24,SOS,UP,ENTRY
ADTN,2024-02-27,SC,NA,IGNORE
ADTN,2024-03-01,AR,NA,IGNORE
ADTN,2024-05-07,SPRING,UP,ENTRY
ADTN,2024-05-07,SOW,DOWN,ENTRY
ADTN,2025-01-08,SOS,UP,ENTRY
ADTN,2025-07-16,BC,DOWN,ENTRY
ADTX,2024-07-01,SPRING,UP,ENTRY
ADTX,2024-07-09,SC,NA,IGNORE
ADTX,2024-07-17,AR,NA,IGNORE
ADTX,2024-08-07,SOW,DOWN,ENTRY
ADUR,2025-04-09,SC,NA,IGNORE
