impl,symbol,time,event_sc,event_ar,event_st,event_spring,event_test,event_sos,event_bc,event_sow,bc_score,spring_score,composite_score,debug,event,direction,role,event_date,bar_index,experiment_id
kapman_v0_handwritten_structural,INVZ,2024-11-27,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-11-27', 'idx': 233, 'label': 'AR', 'score': 0.7485849373143918}}",AR,UP,ENTRY,2024-11-27,233,exp_spring_ar_entry_v1
kapman_v0_handwritten_structural,LIDR,2024-12-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-12-09', 'idx': 240, 'label': 'AR', 'score': 2.1536737527035794}}",AR,UP,ENTRY,2024-12-09,240,exp_spring_ar_entry_v1
kapman_v0_handwritten_structural,ORCL,2024-03-12,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-03-12', 'idx': 52, 'label': 'AR', 'score': 3.5862238827216393}}",AR,UP,ENTRY,2024-03-12,52,exp_spring_ar_entry_v1
kapman_v0_handwritten_structural,PANW,2024-02-27,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-02-27', 'idx': 42, 'label': 'AR', 'score': 2.170318322737539}}",AR,UP,ENTRY,2024-02-27,42,exp_spring_ar_entry_v1
kapman_v0_handwritten_structural,RR,2024-06-10,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-06-10', 'idx': 114, 'label': 'AR', 'score': 1.4305076666367975}}",AR,UP,ENTRY,2024-06-10,114,exp_spring_ar_entry_v1
kapman_v0_handwritten_structural,ZM,2024-02-28,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-02-28', 'idx': 43, 'label': 'AR', 'score': 2.0093185561587403}}",AR,UP,ENTRY,2024-02-28,43,exp_spring_ar_entry_v1
