symbol,date,event,prior_regime,base_event,detector
PBJN,2024-08-05,SOW:UNKNOWN,UNKNOWN,SOW,contextual
PBL,2024-03-05,SOW:UNKNOWN,UNKNOWN,SOW,contextual
PBL,2024-03-27,BC:MARKDOWN,MARKDOWN,BC,contextual
PBL,2024-05-24,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
PBL,2024-06-13,SPRING:MARKUP,MARKUP,SPRING,contextual
PBM,2025-07-22,BC:UNKNOWN,UNKNOWN,BC,contextual
PBMR,2025-10-15,BC:UNKNOWN,UNKNOWN,BC,contextual
PBMR,2025-11-11,SOS:NONE,NONE,SOS,contextual
PBMR,2025-11-11,SOS:NONE,NONE,SOS,contextual
PBMY,2025-09-02,BC:UNKNOWN,UNKNOWN,BC,contextual
PBMY,2025-10-01,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
PBNV,2025-09-12,BC:UNKNOWN,UNKNOWN,BC,contextual
PBNV,2025-10-09,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
PBOC,2025-10-01,BC:UNKNOWN,UNKNOWN,BC,contextual
PBOC,2025-12-10,SOS:NONE,NONE,SOS,contextual
PBOC,2025-12-10,SOS:NONE,NONE,SOS,contextual
PBR,2024-02-28,SOS:UNKNOWN,UNKNOWN,SOS,contextual
PBR,2024-03-08,SOS:MARKUP,MARKUP,SOS,contextual
PBR,2025-04-04,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual
PBR,2025-04-07,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
PBR,2025-11-07,BC:MARKDOWN,MARKDOWN,BC,contextual
PBR,2025-11-07,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
PBR.A,2024-02-28,SOS:UNKNOWN,UNKNOWN,SOS,contextual
PBR.A,2024-03-11,SOS:MARKUP,MARKUP,SOS,contextual
PBR.A,2025-04-07,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
PBR.A,2025-09-10,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
PBR.A,2025-11-07,BC:NONE,NONE,BC,contextual
PBR.A,2025-11-07,BC:NONE,NONE,BC,contextual
PBSE,2024-08-16,SOW:UNKNOWN,UNKNOWN,SOW,contextual
PBSE,2025-09-02,BC:ACCUMULATION,ACCUMULATION,BC,contextual
PBSE,2025-09-17,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
PBT,2025-08-05,BC:ACCUMULATION,ACCUMULATION,BC,contextual
PBT,2025-09-02,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
PBTP,2025-01-31,BC:UNKNOWN,UNKNOWN,BC,contextual
PBTP,2025-02-21,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
PBW,2025-10-01,BC:ACCUMULATION,ACCUMULATION,BC,contextual
PBW,2025-10-14,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
PBYI,2024-02-29,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
PBYI,2025-11-07,BC:MARKUP,MARKUP,BC,contextual
PBYI,2025-11-07,BC:NONE,NONE,BC,contextual
PCAR,2025-11-21,BC:ACCUMULATION,ACCUMULATION,BC,contextual
PCAR,2025-11-21,BC:NONE,NONE,BC,contextual
PCB,2024-02-07,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
PCB,2024-03-05,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
PCB,2025-12-10,BC:NONE,NONE,BC,contextual
PCB,2025-12-10,BC:NONE,NONE,BC,contextual
PCCE,2024-05-02,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
PCCE,2024-06-27,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
PCCE,2024-10-07,SOS:MARKDOWN,MARKDOWN,SOS,contextual
PCCE,2025-07-28,BC:ACCUMULATION,ACCUMULATION,BC,contextual
PCEF,2024-03-14,SOW:UNKNOWN,UNKNOWN,SOW,contextual
PCEF,2024-06-24,BC:MARKDOWN,MARKDOWN,BC,contextual
PCEF,2024-10-15,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
PCEM,2025-09-16,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
PCEM,2025-10-02,BC:MARKUP,MARKUP,BC,contextual
PCFI,2025-06-26,BC:UNKNOWN,UNKNOWN,BC,contextual
PCFI,2025-10-30,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
PCG,2024-12-02,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
PCH,2024-03-04,SOS:UNKNOWN,UNKNOWN,SOS,contextual
PCH,2025-07-29,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
PCHI,2025-09-08,BC:UNKNOWN,UNKNOWN,BC,contextual
PCLA,2025-05-23,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
PCLA,2025-12-23,BC:NONE,NONE,BC,contextual
PCOR,2025-02-14,BC:ACCUMULATION,ACCUMULATION,BC,contextual
PCRX,2024-02-29,SOS:UNKNOWN,UNKNOWN,SOS,contextual
PCRX,2024-05-06,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
PCRX,2024-08-09,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
PCRX,2024-12-10,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
PCRX,2025-04-09,BC:ACCUMULATION,ACCUMULATION,BC,contextual
PCSA,2025-12-17,BC:NONE,NONE,BC,contextual
PCSA,2025-12-17,BC:NONE,NONE,BC,contextual
PCT,2025-07-16,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
PCT,2025-10-14,BC:MARKUP,MARKUP,BC,contextual
PCTY,2024-06-20,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
PCTY,2024-11-06,BC:ACCUMULATION,ACCUMULATION,BC,contextual
PCVX,2024-06-27,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
PCVX,2024-07-17,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
PCYO,2024-02-07,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
PCYO,2024-03-18,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
PCYO,2024-11-14,BC:MARKDOWN,MARKDOWN,BC,contextual
