date,symbol,transition,prior_regime,new_regime,detector,event,fwd_5,fwd_10,fwd_20
2025-04-09,PBJN,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,-0.019048166235756114,0.002198601934309874,0.0232385329886049
2024-06-12,PBR,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.011291460832745237,0.022582921665490474,0.06492589978828511
2024-08-01,PBR.A,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,0.027258566978193066,0.08644859813084116,0.0911214953271029
2025-09-10,PBR.A,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,0.01964133219470532,0.046968403074295395,-0.021349274124679796
2025-01-02,PBSE,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,-0.0012982956576714777,0.009347728735234151,0.011075026436310198
2025-10-08,PBSE,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.004629438124784668,-0.0020682523267839814,0.002316442605997837
2025-04-08,PCB,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,0.07678571428571423,0.1333333333333333,0.17142857142857126
2024-12-16,PCEF,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.027369488089204252,-0.028890015205271125,-0.010643689812468327
2025-10-02,PCEM,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,0.0013278772932983074,-0.009313207410819868,0.007072979052058281
2024-04-12,PCH,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.06194488726941472,-0.06513322705534041,-0.016852653154178943
2024-04-22,PCRX,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.0019157088122605526,0.015325670498084198,0.1727969348659002
2024-08-09,PCRX,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN,0.10598290598290605,0.21282051282051295,0.13076923076923097
2024-12-10,PCRX,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,0.003542510121457232,-0.014676113360324039,0.04453441295546545
2025-10-14,PCT,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.11163734776725298,-0.11231393775372123,-0.3308525033829499
2024-12-12,PCYO,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.11756168359941943,-0.0892597968069665,-0.16908563134978227
2024-04-26,PDBA,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.08014861995753719,-0.05480360934182582,-0.055732484076433164
2025-04-10,PDCC,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,0.0365358592692826,-0.03220568335588647,-0.03166441136671183
2025-08-21,PDD,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.006018217306441032,0.01398828887443071,0.05294404684450238
2024-12-27,PDFS,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,0.04410182861240597,-0.026174256005736862,-0.05414126927214058
2025-04-07,PDFS,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN,0.047257876312718716,0.001166861143523823,0.11143523920653453
